 	forse	stanno	ancora	svegli	</S>
f	0.996322202	0.003088563568	0.00022542053328	0.00016199281087	0.00020183856334
ò	0.960809618	0.02419859582	0.0056754421792	0.00761531229781	0.0017009986016
r	0.760002768	0.2371677909	0.001659757744	0.000156246152	0.00101347271666
s	0.653021812	0.3041039506	0.0104706417	0.0024714660294	0.029932089589
i	0.471749766	0.4397616128	0.021896124861	0.0572846594894	0.00930777425841
s	0.0583258065	0.8703467	0.056788512094	0.0049794971618	0.0095594825122
t	0.0530977316	0.918139148	0.01772114224	0.0043027976676	0.00673917211274
è	0.03578251572	0.91865251	0.03527931534	0.008468126699	0.0018175942646
o	0.01107306752	0.892013844	0.0625313548	0.0043427432488	0.0300390269141
n	0.023019536	0.2830504438	0.596108832	0.0717545266	0.02606665871
e	0.02814265696	0.347022982	0.367723034	0.2000271616	0.05708413398
a	0.01360513146	0.06592681066	0.733111822	0.17759817678	0.0097580785
n	0.01237110834	0.01886342372	0.561140598	0.3688373564	0.03878750695
k	0.017201506472	0.01680835806	0.3792530352	0.38484402012	0.20189311016
ò	0.0944108937206	0.203243922512	0.261482568	0.232499088	0.2083635336
r	0.0202043539438	0.0185042278308	0.500378416	0.3807459568	0.08016704052
a	0.002311046598	0.008466508252	0.486305508	0.4335992	0.06931774308
a	0.02952576486	0.04399311846	0.319137635	0.4054326384	0.201910822
t	0.02552899106	0.030949913798	0.05252114608	0.668988538	0.2220114248
s	0.005330177244	0.0140430108748	0.0340624396	0.6491377268	0.297426652
ù	0.0792744996	0.0605052286461	0.1809282828	0.2472001266	0.4320918808
n	0.039476531198	0.0254077142336	0.09746195216	0.506227646	0.3314261354
n	0.021075554272	0.0073698629924	0.06041347188	0.5970079184	0.3141331794
i	0.157559767124	0.0351798235034	0.123400058	0.3356992156	0.348161112
t	0.0237011015	0.0436465295146	0.104280667332	0.275910816	0.552460908
i	0.107877419379	0.0455733230921	0.03387088278	0.4183455056	0.3943328812
</S>	0.097939016552	0.0938570959594	0.0889189917168	0.0351654826	0.684119452
