 	se	vieni	a	casa	ogni	sabato	</S>
a	0.922871096	0.07134988796	0.002547892734	0.0011293837018	0.000491196187452	0.00043266090902	0.00117792253772
n	0.2875158894	0.541028428	0.013988717	0.005614184292	0.0032232513015	0.00184457803556	0.146784973296
è	0.01872385712	0.922286302	0.0247586165	0.0103473696	0.0022063990636	0.0048531428766	0.0168242577362
r	0.016753930706	0.853701134	0.0901510986	0.0270584785	0.003616606518	0.0015981683325	0.00712060499155
t	0.05174676844	0.624944428	0.207423078	0.072180282	0.003095381456	0.00523328593	0.0353767883506
i	0.0250474356	0.4919238	0.3468919818	0.0492953342	0.034969519713	0.0430755131408	0.00879642756963
è	0.011360780404	0.12351699074	0.564106528	0.25195057	0.03627533368	0.007895358574	0.004894392052
s	0.003220848604	0.051461463906	0.431178155	0.45628095	0.0250966762	0.006081710466	0.0266801948646
s	0.0050365202152	0.0805510209	0.288349657	0.558721078	0.0311716159	0.01218767288	0.0239823944434
u	0.04505389394	0.0580791961	0.1727499268	0.569756846	0.064742859652	0.0466288817	0.0429883724463
k	0.006771719196	0.01029296616	0.0944157748	0.312245086	0.477300986	0.07009323204	0.02888025554
u	0.009703839348	0.00927528206	0.03584012626	0.536555624	0.2170287054	0.1552009982	0.0363954614014
à	0.010211130906	0.00475079108	0.01517988036	0.0572500282	0.659034758	0.2253967128	0.0281766563
i	0.01288386896	0.020632684012	0.02722915934	0.10782347592	0.582969832	0.1920581426	0.0564028341
s	0.01192552638	0.009490385308	0.005671094704	0.02674812602	0.4371447692	0.362396744	0.1466233372
à	0.0016797964094	0.0016781828024	0.007168363488	0.021521242	0.1835074688	0.691239222	0.0932057592
m	0.011632741592	0.005959968294	0.0060281826076	0.010443960402	0.117467694	0.756765396	0.091702064
b	0.0001483271602	0.0001799452032	0.00075337482	0.01020931666	0.0811660844	0.850124446	0.05741852446
a	0.009159161119	0.0111777984546	0.011130594204	0.01019326323	0.029793762328	0.822878796	0.105666653
</S>	0.00197744757	0.009630339892	0.0092781616732	0.031578428938	0.0410383232	0.322873607	0.5836237016
