 	è	che	stanno	ancora	alzati	</S>
è	0.943638654	0.04966606896	0.0058274043514	0.000182697259	0.000143417037186	0.0005417998812
n	0.5161840858	0.3062075178	0.07327645074	0.029891271542	0.0066082837492	0.0678323867048
a	0.390224852	0.290123888	0.1897313192	0.008365216052	0.006683019964	0.114871693435
s	0.0616333614	0.45129775	0.462080548	0.02052809378	0.0019725928806	0.00248765058
t	0.02155078398	0.420075734	0.489184552	0.01481177916	0.02332822311	0.0310489023838
a	0.006324997598	0.432675463	0.542595774	0.00721131191	0.0090929499798	0.00209950604656
s	0.011252594694	0.1200258526	0.789143628	0.04830340054	0.003667237162	0.0276072813944
ù	0.03307457938	0.1377533914	0.643019066	0.116639554	0.050940596904	0.01857275328
n	0.03754281506	0.033507239	0.613166214	0.2816815044	0.00861316439	0.025489108528
e	0.100906567346	0.0434406026	0.620397574	0.1940062176	0.0087323997	0.0325166183772
a	0.058154198074	0.03889025122	0.1779340108	0.54803457	0.1461912883	0.03079569224
n	0.02057627929	0.01730695317	0.0386636582	0.764458962	0.1083170826	0.0506770403
k	0.018605275544	0.00794957144	0.0175591938	0.6176721516	0.13022975288	0.2079840642
ò	0.0569245277735	0.116028642841	0.153161172768	0.196742892	0.2343139466	0.24282881988
r	0.0321278371	0.010514245398	0.011145874382	0.5564478004	0.353826493	0.0359377754
a	0.0114044369218	0.00335622678	0.0123698444	0.682196754	0.1667012572	0.1239714763
o	0.05952718768	0.01674667883	0.0254554831	0.1767719104	0.492730472	0.2287682656
r	0.0229255724862	0.01766122957	0.0113241915674	0.06760636	0.73107466	0.149407968
t	0.00913730312388	0.0068893242186	0.002680408106	0.0676604117	0.5280319706	0.3856006166
ì	0.0134534895828	0.0146794773375	0.0127185430408	0.1602261724	0.3684375172	0.4304847829
</S>	0.0098569489768	0.0076183200223	0.004002830687	0.018044253	0.622770934	0.337706731
