 	la	pasta	vuole	sale	</S>
i	0.993238312	0.0044020408	0.00079329838052	0.00094364770444	0.00062271470534
p	0.680134712	0.293084723	0.01509163678	0.003556563456	0.0081323452152
à	0.548832544	0.2918960888	0.0617965504	0.05623774989	0.041237099348
s	0.268221836	0.637593578	0.0757867652	0.004456623499	0.013941248769
t	0.039692209	0.739390204	0.1360624134	0.06090563901	0.0239495427609
a	0.0849012685	0.82285471	0.0668492192	0.006297263464	0.019097507789
ì	0.03877058242	0.31636219	0.576866505	0.02851378646	0.03948693946
t	0.006843440616	0.167610709	0.593026292	0.2045891441	0.027930448088
e	0.000446824268	0.02807454386	0.833573838	0.1047456686	0.033159140716
l	0.06626132338	0.0136623717	0.287077786	0.534239674	0.0987588146
e	0.00134793672	0.00958661554	0.550956024	0.3554153592	0.08269406256
à	0.01183075668	0.00269478256	0.0717912	0.78592363	0.1277596108
l	0.00570723501	0.003445345244	0.01319271652	0.853744184	0.12391048
a	0.0004785139094	0.000998204596	0.0797609337	0.808008616	0.11075375854
</S>	0.0124557829	0.00177372018	0.0144540137	0.374802667	0.59651382
