 	tutto	il	cibo	vuole	girato	</S>
ò	0.992715372	0.005364102026	0.000816870178	0.00038854619224	0.00027493125676	0.00044014343386
l	0.809702886	0.156853326232	0.020508050932	0.003304166418	0.00214659206566	0.00748496265288
o	0.646966128	0.30066763054	0.024260228	0.00546879118	0.0030609436054	0.0195762387428
o	0.2221473072	0.568880234	0.14109163166	0.064411130951	0.0028636282742	0.00060604815
m	0.04700086928	0.581822494	0.3080646388	0.02622471732	0.016574005168	0.0203132550914
a	0.0228416924	0.628237134	0.27896171	0.05017885286	0.0067905112974	0.012990092508
r	0.03026614052	0.352893738	0.34047864	0.22124341356	0.0236590529454	0.031459015845
ì	0.00802554656	0.2223063184	0.47594916	0.2659916436	0.01071692919	0.01701045602
o	0.008038528566	0.0641029106	0.632613814	0.287796492	0.004178117276	0.003270194298
t	0.00802666196	0.01514156398	0.5015188652	0.444929092	0.0188539111	0.01152987494
è	0.00246939388	0.01129536538	0.41883746004	0.503141922	0.05449664008	0.00975918866
l	0.001392480352	0.001435222352	0.1840925078	0.74983352	0.05561430154	0.00763193562
i	0.000624584948	0.005870953912	0.178366449192	0.567424948	0.217981367704	0.029731718732
v	0.0153226134	0.03020314021	0.0811504844	0.48259399	0.2497579796	0.1409717552
o	0.018882835384	0.007836371516	0.031280850944	0.487574022	0.38394461886	0.070481295
t	0.0125600614134	0.02383016169	0.0606650223988	0.403791205	0.346046632	0.1531069054
i	0.0025286624802	0.0021530339762	0.0073483361042	0.415021252	0.444938136	0.1280105514
m	0.006972787136	0.0121865812792	0.0190766747952	0.1661868702	0.50412828	0.2914487922
m	0.001967789624	0.0047730143614	0.003211426549	0.18543349662	0.634775364	0.1698389058
è	0.0035696491172	0.0155391720712	0.016642786536	0.187769113	0.4425534	0.3339258392
n	0.02398740583	0.008726935116	0.009493093448	0.0298235647	0.566714522	0.361254466
o	0.0179132308226	0.0526111178492	0.081358524402	0.053006925	0.628212662	0.166897528
</S>	0.01325588932	0.043425535372	0.0350328233	0.05399652656	0.1709108488	0.6833783684
