 	vestita	la	figlia	l'	avevo	portata	alla	chiesa	</S>
n	0.986052182	0.0120278392	0.0008938644434	0.00014163582794	0.0003026851682	0.00028488771868	5.916852169e-05	6.9528824551e-05	0.00016826828051
d	0.763866074	0.17613567456	0.026533833362	0.009727843455	0.0072253788541	0.00169803420162	0.000419983498478	0.00193349897825	0.0124597064213
ì	0.699129848	0.2503145572	0.0337247689	0.0064094408508	0.001566614353	0.00174095424906	0.00143551805269	0.00534853058086	0.000329763989459
s	0.425155849	0.535048538	0.032820249168	0.0008409166548	0.0013989942973	0.00105818216859	0.000343923584473	0.00331641176003	1.6995187503e-05
o	0.429977374	0.48316747	0.03529677174	0.0028065956555	0.0015401212314	0.0018300629086	0.00115291242284	0.0432608843987	0.000967836173165
n	0.048714967	0.776422462	0.15740957576	0.006373206336	0.0053177294308	0.0006395489966	0.00147927895302	0.00348759060541	0.000155690906095
t	0.07697463268	0.82248344	0.0618359476	0.007387924234	0.006333122318	0.0048286646366	0.0002046579944	0.0193048856203	0.00064674632324
a	0.0626175091	0.723504412	0.1378949446	0.03011224246	0.0048903579144	0.0020852222524	0.003859228557	0.0342301876711	0.000805929987024
t	0.021915729742	0.489489864	0.4584063928	0.0224667048	0.002378572012	0.00106484089316	0.00075019656123	0.00347241429144	5.5271725192e-05
i	0.004819797714	0.472898694	0.348921726	0.06721572364	0.03111406038	0.025118180876	0.0005401667808	0.044794308209	0.0045773353647
k	0.010675163472	0.113285378	0.793138714	0.0618302672	0.00908481456	0.0019767489878	0.00132422786983	0.00435220261718	0.00433245381492
i	0.003952853772	0.1145342814	0.613678878	0.1321150308	0.0465985983	0.04829406622	0.000716031686	0.03773617939	0.002374061989
a	0.005068765122	0.0323806962	0.77600468	0.1636029792	0.01652586334	0.001598043204	0.00079723299406	0.00278188836347	0.00123985625397
t	0.00817679664	0.01192099564	0.498451596	0.327160052	0.0900765754	0.03364758784	0.0037403688432	0.0257488526688	0.00107714738802
è	0.001346415062	0.015674200378	0.483578082	0.1969662862	0.1928053002	0.0663928984	0.001673380032	0.0388612136046	0.00270224659
r	0.0204659259756	0.00474934364	0.399793952	0.367709182	0.1828061064	0.01182768118	0.002853429444	0.0094854347015	0.00030893389885
a	0.000361229478	0.00857115972	0.5190574	0.30800106	0.111352449	0.0422771689	0.00170828584	0.003095817596	0.00557540569942
t	0.007043312263	0.006661274416	0.088256428	0.484021998	0.335152394	0.0456007366	0.01313124008	0.017057469702	0.003075161126
i	0.0006011575437	0.0054631850836	0.1566755854	0.227421978	0.32660433	0.222553907	0.0094966564	0.025707978864	0.0254751805602
n	0.004315002358	0.003346770698	0.022673605208	0.184878153	0.608639246	0.1121044936	0.021136209646	0.037389841684	0.0055166198006
