 	non	aveva	da	stare	</S>
e	0.917385148	0.07459260556	0.0052697819834	0.0016209281	0.00113158077356
n	0.510179688	0.2681379626	0.01672507372	0.0098850084	0.195072295512
ì	0.10039487628	0.814324288	0.01944396668	0.028111629126	0.0377252297112
c	0.01172691728	0.935195814	0.0326003018	0.006439363106	0.0140375884505
h	0.054150418344	0.715718021	0.0565184602	0.0410121264	0.132600934622
e	0.061556741007	0.749631634	0.0886053388	0.05868486976	0.04152139491
n	0.006742254388	0.0956947464	0.692234848	0.17644591	0.0288822536
a	0.041435443906	0.0509671352	0.52697185296	0.300321284	0.08030426646
s	0.0159620308	0.034776580224	0.2946635616	0.493117922	0.16147994
t	0.007199774142	0.01546962826	0.153532164	0.5318266288	0.2919718074
a	0.0237216441707	0.031403945276	0.10798904934	0.511805288	0.3250800946
s	0.0187770596782	0.019385777944	0.03710226732	0.4736894848	0.4510453968
ì	0.0025268644918	0.008069409012	0.04814639194	0.5857535654	0.3555037784
</S>	0.164546055276	0.012339151482	0.0200057209014	0.3035285472	0.499580507
