 	è	che	sono	ancora	svegli	che	ha	la	luce	accesa	</S>
è	0.901563084	0.0887695047	0.0089728345048	0.00034826290754	8.41538684e-05	4.2861115624e-05	3.197312226e-05	2.48214651496e-05	1.10969316112e-05	4.8311433199e-05	0.000103119516871
n	0.452315602	0.3070433952	0.1031569822	0.012245006406	0.0300687693898	0.0235260827829	0.0297813593171	0.0118281310742	0.00950311261426	0.0011701947485	0.0193613935861
a	0.348751644	0.333905091	0.2223971952	0.014480516848	0.00218892276186	0.00140043001522	0.00242661554124	0.000465124197792	0.00043002499842	0.00022757176391	0.0733268486769
s	0.0499352158	0.47251856	0.449184882	0.0239319095	0.003614080856	0.0002469897264	0.00021088097676	7.1517883554e-05	5.31854849946e-05	0.000127442450046	0.000105312577886
t	0.06071832298	0.464066306	0.412111164	0.02552788776	0.001162700832	0.0008438320741	0.0019704831292	0.00026275188724	0.00019789962751	0.000406571236269	0.0327320647345
a	0.013476070244	0.48913117	0.479157506	0.0127949356	0.001373986792	0.0016675036194	0.0013738265457	0.0001451778331	0.00014009610128	0.000638181954675	0.00010155016049
s	0.014321225212	0.1515438084	0.764445588	0.0653634294	0.0018768625032	0.0018537071931	0.00024867797576	9.01211885028e-05	4.65588572174e-05	2.3349777003e-05	0.000186709876922
ù	0.0636969406	0.13677568	0.598347494	0.1586543608	0.01255317083	0.00384290394	0.00762126187	0.0020411276538	0.0003659329022	0.00261297915721	0.0134881547734
n	0.038224855292	0.049920369	0.515550864	0.378772168	0.00990644792	0.005401628544	0.0016109649918	0.000238279207428	9.7116673444e-05	3.5317926366e-05	0.000241987179257
a	0.071620819726	0.0603763004	0.490790676	0.3149943068	0.02439129362	0.004931383785	0.00636411296374	0.0011529368975	0.0005471108694	0.00109149037546	0.0237395256655
n	0.044591449372	0.03334784284	0.1269923472	0.677235948	0.08953899808	0.02034301604	0.00508829386	0.001453227108	0.000697008247	0.0003407139891	0.00037110662694
k	0.101962803634	0.03980055068	0.1148808174	0.522482432	0.15328793446	0.0177071184	0.01221476416	0.00302861282	0.000998305074	0.005316983807	0.0283196751976
ò	0.063758542337	0.125752000434	0.128986925248	0.213901114	0.2970871418	0.08925518614	0.04565511248	0.0115212597	0.01413214989	0.0063756651706	0.0035749155374
r	0.01024638888	0.005506844036	0.01226547274	0.702583726	0.218516822	0.03982518284	0.00686991109	0.0027360029624	0.0009067721506	0.000355356793492	0.00018751894126
a	0.0114298475894	0.0139609369	0.0263944692	0.643011352	0.155389562	0.104419882046	0.020567532211	0.0133167286115	0.001709152766	0.00345760941076	0.00634295619454
a	0.031978830696	0.010922538704	0.008739625168	0.3345079108	0.3774619736	0.1991209948	0.02421663564	0.008473103024	0.002937247533	0.00081879444544	0.0008223473396
t	0.01676886019	0.0065372513526	0.0062196551108	0.0929436736	0.560126274	0.1791630662	0.07656067428	0.0263468353586	0.0098411152686	0.00890353267477	0.0165890610151
s	0.0107159298694	0.0084805357866	0.00673462723	0.164141194	0.436070406	0.255587782	0.0666595222	0.0298145649	0.005983819706	0.0046950879542	0.0111165416496
ù	0.0092573622543	0.00847183472468	0.00586035485744	0.14287603804	0.2787860362	0.312173544	0.0665074774	0.041796026	0.00806227474	0.0056969827414	0.120512061123
n	0.0031300257646	0.0019484463012	0.00152558395	0.0232562003	0.3478938478	0.439547234	0.112022662	0.0516673171	0.0132913620778	0.00343292191346	0.00228437207314
n	0.0061012462806	0.0062518800208	0.004240544252	0.0730028712	0.4546221668	0.209071608	0.117686088	0.08189559102	0.0119348321274	0.0108488638284	0.0243443533605
i	0.0562122236184	0.029874364924	0.0277926189326	0.0592176976	0.37134804484	0.2680588786	0.0690161067	0.04427508544	0.023702301126	0.0105204443862	0.0399821842148
