 	le	melanzane	vogliono	ee	girate	</S>
t	0.97788046	0.019729210566	0.0012337870618	0.0003743829123	0.000501613233406	0.00028051316314
e	0.86293313	0.09509825966	0.02728902395	0.00150403517232	0.00099008542786	0.0121855119799
s	0.900925794	0.09278130404	0.003330216369	0.0014148992284	0.0013722171028	0.00017555641564
m	0.606818402	0.3175831708	0.03437143388	0.0138981955562	0.00020291034804	0.027125868837
a	0.38900161	0.56399381	0.02684316592	0.0133963431532	0.00622209681526	0.000542954335666
r	0.4421586216	0.533323052	0.01825777064	0.002625687256	0.0022159310784	0.00141894371048
a	0.05029048814	0.780746522	0.0905486062	0.03967609923	0.00146717998	0.0372711292862
n	0.12091086228	0.690814028	0.15318708246	0.00902214728	0.0083032242904	0.0177626318497
g	0.02387913718	0.615241286	0.2957387622	0.01201076332	0.0008388089012	0.05229128266
i	0.20073751422	0.4086092862	0.3394005282	0.028028372364	0.0117867123696	0.011437610442
à	0.16940173574	0.2886787278	0.5190688326	0.01394680792	0.006216367792	0.002687473686
n	0.01938476896	0.32004261908	0.628514468	0.0183540268	0.00647582065	0.0072282487726
e	0.016120983182	0.2102415726	0.700520874	0.0381760748	0.015346353594	0.019594135657
t	0.1317484363	0.05616718622	0.53431858	0.1984600788	0.0530526074	0.02625306954
è	0.004058680427	0.0157188909	0.844490158	0.1077088396	0.006330204012	0.02169320332
l	0.00536801042	0.013603936296	0.683640594	0.257289336	0.03208862386	0.008009508868
u	0.003617252411	0.01552797376	0.589278506	0.3100172566	0.0550846009	0.026474415804
n	0.042585536828	0.012903364688	0.1237282418	0.554808174	0.1739317972	0.0920428961
e	0.019914537605	0.004109044554	0.3310714172	0.48236716	0.083982454	0.0785553505
e	0.007462727714	0.0105035979092	0.04297924038	0.520804964	0.2906914158	0.127558043
e	0.00330542053	0.007422840834	0.021344869132	0.485273166	0.37268093	0.109972736
v	0.005210539708	0.0046605783928	0.026557649348	0.354456376	0.49654185	0.1125729732
o	0.121136960358	0.0106382652734	0.03178998148	0.207910936	0.47712828	0.151395579
t	0.00335210235	0.014734919525	0.035651355174	0.2113379478	0.5376982898	0.19722535366
i	0.0178829540988	0.0018711140774	0.008630823438	0.1828978522	0.577035904	0.2116813354
m	0.00271228774	0.0116414796012	0.01340473809	0.19512780474	0.5112047372	0.2659089236
m	0.006986871146	0.0027885762278	0.001967144678	0.02180268272	0.803204658	0.163250084
è	0.0164207049362	0.009633820161	0.01741301304	0.07013302912	0.52112925	0.3652702036
n	0.07934018378	0.0221274964	0.069431792932	0.12226755828	0.326018862	0.3808141152
e	0.0226866239892	0.009982802574	0.01577415452	0.03976083574	0.735258408	0.1765371672
</S>	0.01944772816	0.01376517846	0.035276201364	0.11432093226	0.2096460448	0.607543946
