 	Marika	non	ha	mangiato	mai	un	rustico	</S>
e	0.815124752	0.172038237982	0.010803405196	0.0013672402003	0.000259048366294	7.18466409268e-05	5.721914876e-05	0.000278223072588
M	0.959124636	0.02378647806	0.00868401984	0.0032928497654	0.0011328521601	0.00177490586797	0.000277908278132	0.00192630850403
à	0.7209185104	0.06977907144	0.15818608	0.01319837632	0.0008020680078	0.0016841074224	0.0334274548712	0.00200434710946
r	0.6519404	0.2572857306	0.0795598526	0.00800262256	0.0011872613662	0.00076313967088	0.000996325139536	0.000264654443522
i	0.4121917132	0.3103908457	0.1857608706	0.0691251393	0.0038427622982	0.0013428124638	0.0163450170866	0.00100085747953
k	0.06762194098	0.436017134	0.379507954	0.092575094	0.01175862178	0.00851440996	0.0021366873662	0.001868119533
a	0.058805422216	0.223714758	0.495644274	0.1569704766	0.016959958937	0.0071406913	0.035873550548	0.00489088486554
e	0.0091090169	0.123196191	0.652017342	0.183708467	0.0212768258	0.004702520058	0.00159815591114	0.00439149881816
n	0.02673049534	0.05168633174	0.461580048	0.389074784	0.01824620886	0.044815150022	0.0042740765676	0.00359288791494
è	0.006941076346	0.02772793256	0.310847064	0.546405002	0.044053031196	0.01022216662	0.049543064042	0.004260648714
f	0.003855718734	0.0276014163	0.2038448074	0.685211508	0.0685974794	0.009662520706	0.000740997736	0.00048561364065
a	0.001583781492	0.008379803932	0.1666550472	0.685016894	0.063822494324	0.02491394672	0.03737057232	0.0122574637506
m	0.01007484612	0.0134638934	0.0423066922	0.4171512112	0.446628534	0.06140144206	0.0037408007454	0.0052325816316
è	0.00435083405	0.00784738648	0.028210539	0.4232090068	0.30992942834	0.0613494884	0.13666809892	0.0284351977
n	0.036981914602	0.00771713488	0.0099002951	0.26370993688	0.608543278	0.0674684486	0.002644512249	0.00303447670666
a	0.0108245999218	0.0096785462946	0.015389456552	0.2251114532	0.4229140886	0.122943804	0.151263431	0.0418746428
m	0.00588765614	0.007300707934	0.008015943686	0.042157913308	0.568791372	0.349454372	0.011621501212	0.006770531514
a	0.00608976859	0.009171935728	0.0053490983	0.0560900597	0.4300615792	0.1971552952	0.199425719	0.09665653636
i	0.0026883284148	0.009091088016	0.01256246246	0.0252572130536	0.3326834634	0.58546035	0.01622817278	0.016028980458
a	0.00535960144	0.013297983224	0.00611327572	0.0134241086698	0.11731960428	0.73654913	0.08033666512	0.0275996577
r	0.01506797484	0.005222502252	0.008062967326	0.009216385948	0.0529746731	0.815396816	0.0358607198	0.05819796874
ù	0.0027915404254	0.00515262252088	0.004334106407	0.0074845287808	0.062142334	0.203483633	0.555886664	0.1587245426
s	0.002530806962	0.005270527538	0.004297487864	0.00625042146	0.09083599744	0.406649828	0.3616262388	0.12253870034
t	0.00045249439812	0.00131414556851	0.00266111254116	0.00170363768368	0.012271506088	0.2208722246	0.65071054	0.11001435746
i	0.00302328878553	0.00538850208062	0.00122001807936	0.00321246586122	0.033049907796	0.134461674384	0.739771834	0.07987230788
k	0.00220640213	0.0073569581388	0.005101542066	0.014964947749	0.0469190009954	0.182908920984	0.303824452	0.436717789
o	0.00102180300722	0.000843809205262	0.00136521264372	0.0008581911146	0.001959887512	0.013690795552	0.898937394	0.0813229138
</S>	0.005506733934	0.0334451674492	0.0207058961292	0.0244660709286	0.0427938759068	0.144896815754	0.195265124	0.5329203796
