 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a	0.97370755	0.02294092786	0.002748652146	0.0001737670678	4.821922404e-05	6.517877762e-05	0.000161329922994	0.000154344955924
n	0.895969248	0.0875843062	0.007599711556	0.001350162084	0.0018411898232	0.001360583303	0.00076884907503	0.00352595238569
k	0.597244946	0.342841032	0.04239715858	0.0026165434	0.0006957033978	0.001134813912	0.001658838959	0.0114110120858
ò	0.4111741446	0.399162116	0.11651093754	0.00922768484	0.001412740428	0.004858301413	0.0490638825846	0.00859019856408
r	0.2807401424	0.505881186	0.1904357798	0.01312647792	0.00773864177	0.0008695698946	0.0007868247648	0.0004213659478
a	0.277723018	0.628219844	0.0489719101	0.01180194504	0.0073350303414	0.00462446744512	0.00673051217252	0.0145932425457
s	0.03386046544	0.494130736	0.425921532	0.0304164096	0.009768069154	0.002398839044	0.0027664799606	0.0007374739964
t	0.06093081522	0.641971674	0.1811281664	0.0339245166	0.016994002762	0.0075884935436	0.0283884469012	0.029073914165
e	0.0123450391	0.4424792048	0.389154413	0.1076887682	0.01238555032	0.007804478932	0.02711009702	0.00103243850228
m	0.00960970249	0.1000212806	0.77587463	0.0944230842	0.01236792614	0.0037372585156	0.00225496448868	0.00171112836561
a	0.01159072858	0.2285588118	0.46300426	0.182992595	0.02348831054	0.02343857852	0.03065655566	0.036270190696
r	0.011352330894	0.01822093088	0.595108886	0.263149357	0.066794911	0.018902011968	0.0115393573082	0.0149322006907
è	0.004679022734	0.02510103526	0.33522347	0.421536806	0.0755705892	0.0782011616	0.03472298584	0.024964913122
o	0.003034701848	0.008334117542	0.353531026	0.43496324	0.1370487662	0.05686364446	0.0041379040254	0.00208659456766
c	0.00530451859	0.005709917972	0.1502498688	0.379129464	0.2628176738	0.1545907622	0.03186927798	0.010328508068
e	0.028845538754	0.01426319294	0.0852235338	0.494622922	0.067993586	0.1614029946	0.04466547674	0.1029827393
e	0.013427631124	0.007958291966	0.05870313094	0.224235593	0.3221287504	0.281455452	0.0848074726	0.00728369544
n	0.0081554852848	0.0031938357724	0.006578941898	0.097472331	0.26736504	0.409190516	0.1410540552	0.0669898046
ì	0.00974265087	0.0066022791846	0.017570236688	0.104912606	0.08479624626	0.494637726	0.173804007	0.1079342284
n	0.00779379953	0.00883913364	0.011956194928	0.0352043144	0.10255835688	0.425790342	0.371895326	0.035962505
e	0.00173814175732	0.0009602826088	0.0027984664424	0.0562431424	0.0254617776	0.581201224	0.230348691	0.10124826174
p	0.00572473147	0.010918523368	0.011664230852	0.01844218508	0.0253431122	0.1819440612	0.508728114	0.2372350886
r	0.003966584102	0.002886311182	0.007480829318	0.00867208674	0.00519224372	0.1641292666	0.59833796	0.209334734
ò	0.00038171396444	0.00244828851894	0.0035648639812	0.013048096366	0.0128547939654	0.1725960021	0.602646548	0.192459693
n	0.003211866084	0.001967358164	0.0030043506	0.004597215168	0.00754157114	0.0637342964	0.588959104	0.3269842192
t	0.000958026342	0.0006863636908	0.0013284488752	0.0037008452	0.00417213702	0.0832710134	0.66566525	0.2402179544
o	0.0051561989454	0.0083900872586	0.0083459283638	0.006743407484	0.012492565341	0.04945201406	0.765355988	0.1440638096
</S>	0.0018207846	0.007490163336	0.011278046564	0.01795860206	0.02009584547	0.05493771894	0.2608391788	0.6255796866
