 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a	0.93635639	0.0556088282	0.002662643894	0.00414716084568	0.0002317396778	0.00037700018192	5.627843722e-05	0.00010140395242	7.9634611396e-05	7.59693407644e-05	1.26603390294e-05	8.70681184827e-05	0.000107653037802	9.55926981928e-05
n	0.2159088485	0.5924544408	0.0284480236	0.00669758454	0.0023598968162	0.00273298066246	0.00387317456428	0.000938823212972	0.00149227281618	0.00138452322637	0.00175293515722	0.00366063002289	0.0255443360022	0.11275154088
è	0.01292299458	0.9173469	0.0381068348	0.01315190202	0.0019927699404	0.006658463	0.00260448211334	0.000416510108	0.000358623418366	0.000372391106278	0.0001552362953	8.45238746154e-05	0.00065547116723	0.00517288995898
r	0.009374540372	0.875117188	0.0865612432	0.0160238271	0.001320059672	0.0027960721002	0.003347638236	0.0011043005282	0.0007041962241	0.000515290498826	0.00073233532954	0.000364848888827	0.00037359177089	0.00166491464208
t	0.04556657042	0.556814418	0.230756365	0.08521824472	0.00364721063	0.047021982039	0.00380128710228	0.0025165736771	0.00042184948032	0.000545324242894	0.000662061248318	9.3458165112e-05	0.00244337900335	0.0204912848336
i	0.00746262708	0.377756157	0.4710424848	0.095439469054	0.017309675632	0.008406364216	0.00688118770354	0.0018839268756	0.00080399790155	0.00303593682155	0.000548476553375	0.00651111221453	0.00247707814412	0.000441508581734
s	0.002415518196	0.1296060164	0.5253098168	0.3262741336	0.007374538692	0.006089200416	0.000833085724	0.000468032026	0.000149656084	0.0002101505888	0.000283235507	0.00068565985236	0.00010707726462	0.000193901281236
e	0.0383527759984	0.1165243358	0.52640703	0.235958796	0.0162337496	0.05183310204	0.0015071658052	0.0030602203202	0.00242330040504	0.00165284701693	0.00139794428311	0.000382937273004	0.00299002665276	0.00127577179829
s	0.011461625086	0.0458530125	0.3968211692	0.437769428	0.064073618	0.02898866602	0.00464743826	0.001324887468	0.0003545430504	0.00051905683266	0.0017197158758	0.001309392073	0.000485457129252	0.00467202677735
e	0.0101042824766	0.03837381776	0.4559298106	0.319510642	0.0593022832	0.0860173374	0.010001085816	0.006617964	0.003698901376	0.0016164394036	0.00191644173726	0.00033001887858	0.0025781877131	0.00400284037035
t	0.016315045527	0.0184052348	0.141127394	0.478716094	0.1869482234	0.1109746414	0.03045348696	0.00615233666	0.0017945596308	0.0004663882821	0.0020559042444	0.0005787411908	0.000341892380352	0.00567006731503
t	0.004792015272	0.01116600434	0.1745488914	0.363032163	0.156860298	0.2239640528	0.02611258596	0.02226134	0.00581843999	0.002331427826	0.0027054207462	0.00044928760388	0.0017052186984	0.0042528302382
à	0.00459322206208	0.003674443139	0.0306284111	0.47291930482	0.225119663	0.21345602296	0.0153959152	0.02230756764	0.006732778806	0.0014525881508	0.0002859274948	0.00089303980034	0.0022830067564	0.000258136464568
a	0.0046370153968	0.00284636183	0.0248044062	0.286741378	0.4157093068	0.22297857812	0.0227135722	0.01249284844	0.004961164836	0.00082001431528	0.000214046752	0.0006427469146	0.00025400918972	0.000184563060586
n	0.02278806664	0.010848314072	0.01575555758	0.0650622522	0.1134710394	0.425370474	0.11766271	0.1627876334	0.0371688938	0.011744597764	0.00665666763	0.003905547906	0.0038363685548	0.00294184980954
d	0.0059712944888	0.00192570978174	0.019838791228	0.0855654374	0.2004376666	0.392701808	0.07256887692	0.1800939772	0.02251811338	0.005337065784	0.004596647227	0.0008547140016	0.00392037798	0.0036695340492
e	0.0177659153608	0.0216358578107	0.038641947522	0.10110584318	0.134915352	0.37524235792	0.08209890398	0.0659609223	0.093707616368	0.0246122579006	0.010165261804	0.0114377606359	0.011612576906	0.011097394899
m	0.006860902146	0.00326858766	0.00344297437	0.00733994202	0.08934441756	0.40248110814	0.184175425	0.2022046002	0.0877589186	0.00575661638	0.0038982548	0.001743763646	0.0007061646754	0.00101830863
i	0.010405160592	0.001483077038	0.02878816744	0.01100781132	0.17024720964	0.4034629908	0.083882166	0.186305316	0.03806046034	0.01130489022	0.004620801734	0.0034881024034	0.017311027894	0.029632812112
n	0.0138399582352	0.011718979136	0.002820216564	0.012441536146	0.0477368442	0.256201711824	0.1310657144	0.1706199362	0.2830999852	0.03671395648	0.01393368344	0.01106082782	0.002794363785	0.0059522974792
d	0.00598060426	0.00190395478048	0.01445537322	0.0038064653	0.04290629568	0.3414839076	0.0811978202	0.279732616	0.1580175076	0.035241369872	0.00528020131	0.004119898808	0.015505337024	0.01036866548
è	0.019739562168	0.022943861057	0.025836621192	0.02160843188	0.0784109898	0.317160852236	0.06492255292	0.1003185818	0.2605481444	0.03942544926	0.01051534962	0.0093884961428	0.0120658409	0.017115254714
l	0.007471446002	0.010744051014	0.00266642952	0.001943837388	0.02909821102	0.226894789568	0.0869015856	0.210904072	0.3406447158	0.04974192506	0.01782844722	0.00957493534	0.002436160512	0.003149414956
a	0.00423171062878	0.0051799771832	0.009107480604	0.00373611394	0.03999257406	0.3109003681	0.1113699124	0.249553452	0.1202888574	0.04195006892	0.004595130012	0.0062093742168	0.04830799414	0.0445769793314
p	0.0023387443932	0.005198258712	0.004419637398	0.00262998892128	0.004013263072	0.0607398724676	0.12357890722	0.1397979914	0.375832148	0.2223006604	0.0286288563	0.0200043004	0.007449310774	0.00306809548
l	0.00263976461	0.0007293541372	0.00682679378	0.00163581198	0.008401739262	0.12937859468	0.02485119048	0.2362371966	0.277792046	0.1751880928	0.01129343198	0.017852447544	0.052184226832	0.054989348526
è	0.00208944298242	0.0134950194554	0.0092724598164	0.003444512226	0.0270415355	0.178277847028	0.056605912772	0.112298997	0.252135804	0.1022031018	0.03128445962	0.038838819024	0.07840877988	0.094603270331
