 	sul	muro	vuole	uno	specchio	</S>
s	0.995849672	0.0031348064166	0.00033872708317	1.4652343866e-05	0.00057469003603	8.74804634332e-05
t	0.896562566	0.0943470508	0.002188156178	0.0002340413966	0.00314823717773	0.00352000675902
o	0.951818256	0.035440999634	0.00367724061972	0.0011240946211	0.00762667942232	0.000312743245726
t	0.4038542522	0.470060768	0.03498430822	0.0755076530446	0.009828840747	0.0057641382946
ì	0.04794806548	0.702925028	0.0438168196	0.002500485009	0.19158929101	0.0112202756523
c	0.08588406848	0.8226522	0.0763245276	0.00422438458444	0.0102584478246	0.000656310741708
h	0.13945706324	0.691006306	0.0794755036	0.015854617144	0.0486983407575	0.0255082014833
o	0.33738306092	0.48003942428	0.006769199342	0.167968915974	0.0052994250957	0.00254000484854
t	0.10546062732	0.441736246	0.3390760692	0.05240890348	0.055972509815	0.0053456454454
è	0.00260171574	0.1432331492	0.65833984	0.02463038644	0.155302290364	0.0158926160841
l	0.0135552888034	0.11273546114	0.82989328	0.02341391002	0.0157532692682	0.00464881294196
i	0.0069453370948	0.02524211052	0.89064024	0.04096446582	0.0240023384	0.012205521444
o	0.27482080484	0.09453058394	0.420071418	0.0331007986	0.1288058771	0.0486704881
j	0.046474114	0.04883677994	0.17851581	0.4111229234	0.2685523154	0.04649807084
e	0.003936143866	0.01275337668	0.250902241	0.395700118	0.2933475066	0.0433606004
l	0.02633617326	0.026392440452	0.11611366678	0.3973080846	0.319903387	0.1139462516
ì	0.002902548654	0.009080246882	0.0456530408	0.34044668092	0.4345968702	0.16732062516
</S>	0.00290809018	0.003093413418	0.063393311596	0.259782780114	0.439001203	0.2318211844
