 	vado	vestito	</S>
i	0.98193302	0.008236631714	0.009830342728
p	0.964351652	0.02045101014	0.015197344406
à	0.932809308	0.030904653768	0.03628602612
o	0.74971286	0.1990922524	0.051194908788
n	0.2611949006	0.512527114	0.226278026
d	0.0432298492	0.5244427244	0.4323274126
i	0.2215954534	0.367547156	0.410857424
m	0.116059105054	0.511222348	0.3727185092
è	0.01778591978	0.4177264034	0.564487664
n	0.058401455472	0.3409987624	0.60059978
o	0.03566763002	0.41310945426	0.551222872
</S>	0.043188853478	0.19326249378	0.763548648
