 	ho	rotto	una	bottiglia	</S>
è	0.964651524	0.033508030006	0.001140208468	0.0003017148308	0.0003985504228
g	0.4063197374	0.500597747	0.053237602174	0.00525460630496	0.0345902572152
l	0.355677004	0.59128724	0.0146084727	0.002723484646	0.0357038650582
a	0.121580195	0.794804544	0.05545781024	0.0239262081624	0.00423121226179
s	0.0908169046	0.765107608	0.1257081254	0.005156753156	0.013210584716
a	0.08338096156	0.66664982	0.2263188444	0.0172996703	0.006350681502
m	0.04504241804	0.2205647996	0.69834632	0.02092181486	0.015124639392
i	0.09575287066	0.3347571366	0.422333428	0.0827901112	0.064366457
a	0.020854281188	0.07290587572	0.72071056	0.122329115	0.06320014298
b	0.014859049844	0.0317537719	0.616661833	0.2892851708	0.0474402268
u	0.065115766232	0.0435302267	0.518304682	0.2715453332	0.10150398554
t	0.0249378276106	0.03069343875	0.454546719	0.3866326354	0.1031893586
t	0.01909877406	0.02011984474	0.253208442	0.451244306	0.2563286328
ì	0.0139136329376	0.0147893458616	0.15669707844	0.63310865	0.1814912508
g	0.010416930574	0.0127112393854	0.18243168356	0.420954874	0.373485274
l	0.12151864217	0.012374691688	0.10269763406	0.712308556	0.0511004538
i	0.202212513579	0.0308745060431	0.071789412181	0.516150306	0.1789732716
a	0.06522950384	0.031283005374	0.150926958312	0.22088657	0.531673942
</S>	0.223267102972	0.055024577482	0.071612470208	0.1274401176	0.522655774
