 	forse	non	li	ha	a	casa	</S>
f	0.966750144	0.03245076618	0.0003001381406	7.74532238e-05	8.7385932128e-05	0.000162168042634	0.00017190911777
ò	0.982593776	0.002969906406	0.006969935974	0.0010773703092	0.0009859615868	0.00186972415373	0.0035333709109
r	0.815414132	0.15174319146	0.0293234903	0.001511534566	0.000617656415	0.00025377704352	0.00113620893726
s	0.717350132	0.0780664991	0.0656239772	0.048319287236	0.0191060593053	0.0079699086452	0.0635641288919
i	0.5847651232	0.2355592646	0.0898428724	0.02126138228	0.050888555823	0.0133040853436	0.00437869174934
e	0.08734258226	0.396822156	0.359122452	0.06625866454	0.063853330834	0.016982118341	0.00961876567
t	0.0843030806	0.1909678	0.593384074	0.0747938644	0.010283334314	0.002256945505	0.0440109116702
u	0.08818899122	0.2158289316	0.402611782	0.1417467482	0.03938960612	0.081044549232	0.031189489624
s	0.01350996236	0.0888587646	0.601798838	0.1960331276	0.0545724727	0.016813213706	0.0284136035512
è	0.03379357116	0.12519593462	0.213475712	0.342572382	0.116282748	0.09858761042	0.07009207152
c	0.01599252874	0.0543714779	0.2902683	0.499031376	0.1172093216	0.016885762266	0.006241267648
h	0.023183031232	0.02683441034	0.1223960564	0.473209108	0.1793426766	0.07582179652	0.09921291706
i	0.094892094306	0.011238290564	0.176799482	0.397968126	0.200952065	0.0854654152	0.03268449906
è	0.03994281082	0.01134080352	0.03252401426	0.363883142	0.443834188	0.064471692	0.04400337834
s	0.04464534452	0.00558787166	0.00835757147	0.1459892926	0.52298722	0.2132621674	0.05917054294
s	0.0160252956543	0.020802199499	0.02031200979	0.116668069	0.342486452	0.397072784	0.0866331858
u	0.073192917889	0.0691557739864	0.01055088343	0.08480494778	0.1956083518	0.40568491	0.1610022066
</S>	0.00818291158	0.008611981094	0.003466985904	0.02686756084	0.1228641508	0.38039867	0.4496077228
