 	dei	genitori	</S>
à	0.979434452	0.01449789432	0.006067676212
t	0.755503906	0.188855545568	0.055640525706
t	0.651460248	0.2564604578	0.0920793153428
u	0.754996588	0.1486902606	0.0963131550217
s	0.453982276	0.335631249	0.210386479
g	0.15210595542	0.79127027	0.05662375174
e	0.3465176557	0.552603538	0.1008787978
n	0.124693155	0.615728492	0.25957836188
i	0.011651416612	0.880378832	0.10796972628
t	0.122634554388	0.4800879906	0.397277446
ò	0.010703365246	0.89774439	0.09155223276
r	0.04725688942	0.703318248	0.249424872
u	0.007802204495	0.89724161	0.09495619044
</S>	0.102004057348	0.2275440846	0.670451848
