 	siete	cucinato	</S>
ì	0.991209238	0.00468411808	0.004106652132
s	0.79136239	0.16782345324	0.040814151738
e	0.6828552492	0.2381002964	0.0790444673728
s	0.403420818	0.40901189806	0.18756733126
t	0.112415837	0.64602136	0.24156278536
a	0.0746143627	0.787025334	0.138360307606
m	0.060432769256	0.64963059	0.2899366478
a	0.016259112992	0.691458196	0.292282646
r	0.06636787688	0.51567948	0.417952616
à	0.00470519148	0.500529612	0.49476521886
t	0.022987569484	0.514122636	0.462889758
a	0.02667291521	0.79101006	0.1823170296
</S>	0.151713009186	0.0974297761	0.7508572582
