 	sta	e	dorme	nel	letto	</S>
s	0.989300742	0.00907247226	0.0006680654236	0.000458787871	0.00010804754284	0.00039188669914
t	0.716406216	0.1557663374	0.011386282246	0.0045359546068	0.0810995438794	0.0308056752661
e	0.608977206	0.331159072	0.0549055818	0.001886628278	0.0027918079112	0.0002796021639
c	0.1397206336	0.83062151	0.02645454164	0.002130482998	0.000662036989	0.000410757152
e	0.1367378438	0.495080946	0.2023977378	0.00470860603	0.080434021935	0.08064085187
p	0.04806363654	0.731119508	0.2032482018	0.01054775774	0.0037679223608	0.003253050126
l	0.0464129676	0.3432202928	0.536453584	0.029239671554	0.03671883605	0.00795467394
ò	0.0278954142	0.2312396308	0.422747748	0.19696343554	0.07102720572	0.05012659591
n	0.021266645332	0.1163565812	0.604704622	0.2393213918	0.01356630844	0.004784444276
n	0.00866475658	0.0809049316	0.758320956	0.105800295	0.02754301252	0.0187660578
i	0.101244252314	0.084889580234	0.3257260972	0.4000599064	0.0389412006	0.049138953714
s	0.024099458296	0.03654490374	0.1589941937	0.494419194	0.245244683	0.0406975482
t	0.0074352247088	0.014692605952	0.270902891	0.3776048246	0.2410433424	0.0883210904
o	0.0219494796798	0.0077311745382	0.06442927108	0.483550586	0.2787401996	0.1435992852
g	0.039414347192	0.03746786022	0.0692410162	0.1365554424	0.399157858	0.318163498
r	0.0050400313988	0.0130697684	0.02833419516	0.2814418514	0.3876720816	0.2844420974
à	0.0130658846588	0.0109335927956	0.0461655466452	0.2055037766	0.323508808	0.4008223854
t	0.0090667198228	0.0038688712712	0.00993102693	0.1553045452	0.550049368	0.27177949386
t	0.0055600925102	0.004649985567	0.0341689274	0.2765201568	0.3979423278	0.28115852188
i	0.0742494525228	0.0281826149537	0.0760521813626	0.224391119	0.381789108	0.21533552686
</S>	0.009757162038	0.0043930846036	0.017313444782	0.028426839312	0.2416767578	0.6984327006
