 	ho	finito	di	scrivere	</S>
s	0.877925582	0.11551598926	0.0056114496496	0.0005548392452	0.0003921480832
p	0.5395779168	0.2964448872	0.03861176932	0.0691381137714	0.0562272879917
ì	0.2760287361	0.643590088	0.06436066688	0.01205979804	0.0039607236674
c	0.0206356049	0.945099862	0.0308578272	0.000605883528	0.0028007704744
c	0.02485968078	0.893417952	0.048843447748	0.00704576676646	0.0258331599788
e	0.01848589268	0.660296244	0.26484829822	0.02578827344	0.0305812752358
t	0.11465419918	0.405824636	0.446513546	0.02797075188	0.00503687582
s	0.032551152748	0.5215443008	0.38950299834	0.044441035774	0.01196048985
a	0.0331267649	0.315148666	0.537124214	0.0518380398	0.0627623539296
à	0.04235724988	0.14683540842	0.647784482	0.09598913428	0.0670337142
t	0.115177972394	0.0784646396	0.48493314292	0.197994601	0.1234296224
s	0.0538293520288	0.04705411302	0.363624402	0.3158982219	0.2195939402
e	0.128943037336	0.0710756956191	0.0756799406	0.474580081	0.2497212543
g	0.076178844788	0.1019525095	0.115426261	0.2574901402	0.448952204
r	0.0579443947994	0.01839025396	0.121200837	0.390628824	0.4118357066
à	0.01573562498	0.076638433464	0.13916774966	0.309383544	0.459074638
t	0.04413325606	0.0928822127844	0.04418703238	0.4358987326	0.382898764
s	0.006958515205	0.005556484592	0.02462927944	0.5139614694	0.4488942748
i	0.172842941655	0.0401662715678	0.017306145502	0.518234394	0.2514502606
</S>	0.15230882152	0.057388565953	0.026337543096	0.119550451	0.644414612
