 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
t	0.86205214	0.13573722274	0.0005484562406	0.000454410064	0.00015533985496	5.86978973908e-05	0.00038311595397	9.25992365262e-05	0.000206076590699	0.000230801121057	8.11607266554e-05
a	0.681904707	0.2775528042	0.0008832868578	0.017035181198	0.00224486451796	0.00359469233651	0.00159472847835	0.000606104487306	0.00107364369755	0.00246538930895	0.011044579932
p	0.332434119	0.64110290034	0.010212678668	0.007377102392	0.00169663328392	0.000304146056482	0.00087794603976	0.000501869736133	0.0029991577533	0.00215306280921	0.000340376424699
e	0.23753958908	0.61792987	0.077840520152	0.0551791342572	0.004249805687	0.0012847611389	0.00445004696785	8.9033806e-05	3.9594565482e-05	0.000246834197864	0.0011507757768
t	0.14834983664	0.813522368	0.01813508726	0.01586653734	0.0008079327064	0.000525616670859	0.00015843236272	9.89705297393e-05	0.00164922453614	6.99398309619e-05	0.000816042847151
ì	0.102832786528	0.715349754	0.06257334586	0.07906400924	0.01765831128	0.0027107998978	0.0159969272954	0.00050073948276	0.000199025744248	0.00058448444392	0.00252982110982
a	0.039898243074	0.72466296	0.21172407	0.02219596108	0.001114809223	0.000169276375918	0.000149589817552	1.9025330019e-05	3.7281055142e-05	1.69681984446e-05	1.1844906598e-05
e	0.0081191514	0.2600650396	0.4126341572	0.218290641	0.04838498604	0.025002477348	0.001436846894	0.00504924114606	0.0126509636925	0.00182102143409	0.00654549766471
s	0.00628961344	0.1184601097	0.2932413684	0.3591843552	0.063733036	0.057021189858	0.001189830882	0.00507000574746	0.0562525786383	0.005549133792	0.0340087753506
ò	0.00799163829	0.079876791	0.0713698378	0.595435512	0.139905084	0.0179386177	0.054502383488	0.001472025138	0.004149523581	0.0201249661857	0.00723360393983
z	0.01098661437	0.0396231782	0.16164612248	0.6648164	0.085132998	0.010636411922	0.0046089613532	0.00322631455348	0.0118102675603	0.00363243185331	0.0038803027211
u	0.0069844519	0.02548231468	0.2098546771	0.4689956678	0.218378989	0.02799047934	0.0236977442494	0.0062404528688	0.0007929187612	0.00171466505066	0.00986764769336
n	0.009366657928	0.00976746592	0.16645237172	0.297211688	0.40822552	0.0569691486	0.01480638764	0.0321018950652	0.001578122731	0.0012386396892	0.0022821105723
e	0.0053947912464	0.0066267085504	0.0775291576	0.2758709898	0.479773536	0.056310253	0.0787551872	0.00446896298	0.001203417329	0.005356643406	0.008710348214
