 	mia	figlia	vuole	andare	</S>
i	0.981112318	0.00634309259	0.0091682946921	0.00116797977196	0.00220831464594
k	0.65760282	0.27340867814	0.011627423606	0.029577158508	0.0277838969524
i	0.5889661668	0.2537960136	0.11259795808	0.019504161714	0.025135702062
a	0.23676840012	0.704954824	0.034102308506	0.0177707490668	0.00640373029858
t	0.04500202498	0.879266748	0.03948737426	0.018429833711	0.0178140212642
è	0.13368389712	0.659379146	0.1569681185	0.02467503748	0.0252938192
r	0.013415024948	0.904705236	0.07361698992	0.00684100268786	0.0014217629914
a	0.05189172874	0.814145986	0.0947254666	0.028302254016	0.0109346170929
m	0.0923865444	0.428153792	0.3927803066	0.05499233198	0.0316870732
u	0.1013115068	0.390113036	0.379754418	0.092453119	0.0363678956
i	0.031395287952	0.1885255644	0.665747238	0.06821248	0.04611940762
t	0.01077796734	0.049072193212	0.68512918	0.201709058	0.05331159612
è	0.010289624064	0.02073803096	0.676783312	0.2264207466	0.0657682721
l	0.005836563876	0.01000937162	0.609843188	0.348881768	0.02542913434
i	0.011586521582	0.01803131402	0.385425516	0.519628474	0.06532818148
n	0.021308947232	0.03804033612	0.082678493	0.624246252	0.2337260006
a	0.0415517036252	0.008831602394	0.0800577356	0.702956636	0.1666023029
p	0.0205594934	0.044514004763	0.04516727796	0.714536342	0.1752228816
à	0.0151525646302	0.0028574391826	0.00788344998	0.791955776	0.182150754
i	0.0137544930498	0.013815883408	0.05005185182	0.8080477	0.1143300878
</S>	0.03242816734	0.0476869191	0.02748890018	0.2958501428	0.596545846
