 	prima	di	andare	alla	scuola	</S>
p	0.980787242	0.017444570358	0.00129110469538	0.000193689436542	0.000119683087981	0.000163721213692
r	0.93658446	0.043402496	0.00584653478	0.0007382759924	0.00617309597856	0.00725510516944
ì	0.777271476	0.1858307976	0.031956066728	0.00313618890596	0.00160136996862	0.000204134929608
m	0.3104299672	0.643889868	0.0349914748	0.0039062554288	0.0060139734146	0.0007684831644
a	0.1128434532	0.614890022	0.1693581388	0.03266660994	0.035678266468	0.034563507108
n	0.0792840645	0.6055166392	0.216396736	0.024469922624	0.0672310588995	0.0071015836014
a	0.0542947194	0.5700592	0.330361356	0.01553458	0.02386306628	0.005887054552
p	0.083098865748	0.1367070036	0.658457528	0.0640099688	0.046513034018	0.01121364064
à	0.031524498736	0.148637871	0.673857142	0.086084909	0.04510641446	0.01478917572
i	0.00710385538	0.0354299062	0.733976726	0.1496499948	0.03756621904	0.036273318972
s	0.0727406154	0.00962551768	0.316832536	0.4011168046	0.1334850628	0.0661994648
t	0.00292729109968	0.017553057414	0.331406748	0.409510798	0.202231618	0.0363704744
i	0.003863748173	0.0099655350494	0.0800591468	0.479343622	0.36428220612	0.06248572432
s	0.03811614667	0.016300124082	0.10221469068	0.448529758	0.2697082147	0.12513103628
k	0.002428246891	0.0104273783516	0.05116362546	0.247746831	0.555721766	0.1325121432
ò	0.0137241632096	0.0306150213545	0.041978091674	0.2553517008	0.4960523186	0.1622786951
l	0.015079963386	0.0042547996212	0.0390922263	0.13246082902	0.599469288	0.20964289412
a	0.0041503992494	0.0120826751722	0.044335921808	0.2319300536	0.62694694	0.0805540002
</S>	0.13000960354	0.013312544032	0.04416683096	0.035405534	0.270256022	0.5068494572
