 	io	nella	mia	vita	ho	sempre	lavorato	</S>
e	0.95613627	0.03917146072	0.0033866817152	0.000332547373	0.00014748823024	0.0004999899434	9.1028283802e-05	0.00023454468771
v	0.913822098	0.0709795802	0.005872859	0.004125691954	0.0026240708286	0.00072907851688	0.00027349064052	0.00157315120934
ò	0.486648526	0.474587032	0.02666614278	0.00643449676	0.0012410942104	0.000688569692	0.000432973924812	0.00330117420268
s	0.2470000504	0.582630126	0.11183262	0.04962618854	0.007135487076	0.000751421251	9.6105054996e-05	0.00092794034335
t	0.088780816	0.756240208	0.08147981988	0.015539554484	0.007925560234	0.0010376389634	0.00059956075378	0.0483968433227
i	0.19812339332	0.599975986	0.1596090814	0.01690311726	0.012536655946	0.0049826921446	0.00656648604744	0.0013026173224
z	0.02358050992	0.48135463	0.362854074	0.03331911434	0.01786455594	0.078459628474	0.00205895373496	0.0005084962986
o	0.01034290295	0.53117554	0.327289868	0.09253005544	0.01955279848	0.00655775528	0.0064792570994	0.0060718895199
ì	0.059093323348	0.1068244812	0.4921161448	0.1729949352	0.03191432276	0.132280944095	0.00151119143161	0.0032646358862
m	0.00843388688	0.0381075772	0.4287214202	0.335256642	0.1079584536	0.075277681014	0.00369695916068	0.0025473625052
m	0.0017909565306	0.02376342418	0.352988438	0.3665581176	0.148589216	0.08193062472	0.012942372224	0.0114368349425
u	0.04905072072	0.1835273732	0.324507834	0.174956022	0.1867826324	0.04726966968	0.02886978776	0.005035977016
ì	0.020957142142	0.019984558458	0.13877482534	0.44002173546	0.1946915684	0.169952864	0.01306160258	0.002555703186
m	0.00513561852	0.007004135206	0.03535350446	0.44968703098	0.317009442	0.1699376936	0.0119791637444	0.003893381006
e	0.00112489010012	0.00384827255	0.02889369712	0.1919931848	0.38615515	0.305743485	0.03934711476	0.042894195264
p	0.01515410784	0.008124732534	0.00911776294	0.14891370642	0.301838972	0.476033	0.0303000582	0.01051765218
à	0.0022339123086	0.005247723776	0.0127819791	0.05120656754	0.313318262	0.511318262	0.06051012594	0.043383159
n	0.0367146619468	0.0032478431178	0.003775882392	0.0230054039548	0.1171050234	0.67553477	0.1107899672	0.029826433274
t	0.00074666385294	0.0023084337222	0.00432305816	0.02018477976	0.1192157229	0.679617814	0.1085398402	0.0650637047
a	0.0141307017378	0.0071247143917	0.0092094990664	0.013135387531	0.0947667022	0.646669378	0.1189545454	0.0960090188
p	0.00221826488	0.0039367598454	0.003705642464	0.010257647576	0.02900625192	0.443032802	0.325103472	0.1827391851
o	0.0007727868797	0.00133631169054	0.0063131524272	0.030078145302	0.0251192831	0.342784568	0.455705494	0.137890259
l	0.0158546676048	0.01141217521	0.0037356032486	0.00477988311416	0.033762346828	0.1350242616	0.65336904	0.14206199721
e	0.00125296452886	0.0026674253352	0.0029311161308	0.0032462387214	0.0090501595728	0.2004182391	0.62168401	0.1587498294
m	0.006515105177	0.0015951160536	0.0024344694354	0.00408064216021	0.0111416878068	0.0687976158	0.676308056	0.22912735844
i	0.0010658078446	0.0021723921422	0.0198926936484	0.0747255464383	0.021452449476	0.1424278054	0.578446322	0.15981696
m	0.00514258581806	0.0035076493616	0.00576005529146	0.00519333248927	0.0134423981184	0.03526558772	0.686100934	0.2455874524
m	0.0012394187508	0.0018669414362	0.0175049415348	0.103897348973	0.0112767235468	0.02089214094	0.629105376	0.214217102
è	0.00272998894	0.0090840975604	0.006206346626	0.0308938422988	0.0117913883306	0.05811480326	0.572638678	0.3085408376
n	0.025986925744	0.001679185796	0.023490926774	0.025680853679	0.00902488789	0.01435120968	0.4389606312	0.4608253512
a	0.002111687526	0.003962247346	0.010112219134	0.0024922872894	0.015084879696	0.02754424352	0.711142252	0.2275501858
</S>	0.013567482896	0.02386339594	0.01588865511	0.033929345133	0.028911428784	0.066989870972	0.248925426	0.5679243796
