 	sto	e	cucino	</S>
e	0.9947974	0.0030867632	0.001318142566	0.000797671904
s	0.698834822	0.2462524734	0.010273673372	0.044639003248
t	0.59808564	0.2232964668	0.03803366736	0.140584227492
è	0.3342529552	0.52360732	0.1333394362	0.008800318006
c	0.1073973012	0.8311661	0.0507483268	0.01068824963
e	0.26307365628	0.5417803244	0.1260871912	0.0690588427794
m	0.09933402879	0.520254036	0.3401076808	0.0403042854
a	0.08727774576	0.446967956	0.393701684	0.0720526294
r	0.058749797562	0.0606069496	0.723986368	0.1566568552
è	0.014278658242	0.148949616	0.627901638	0.2088701008
o	0.0176865089414	0.02327836284	0.898945396	0.060089753
</S>	0.054707451816	0.039158856854	0.428259794	0.4778738898
