 	dovevo	comprare	il	pane	</S>
ì	0.852879086	0.12414178408	0.0168905915466	0.000781266546	0.00530727207428
c	0.859900418	0.130959294457	0.00385181222838	0.00066092744022	0.00462753584742
h	0.665513068	0.245523153284	0.0594735731546	0.0033460012056	0.026144227374
a	0.724908908	0.232635625	0.0139261568654	0.0182877462719	0.0102415259966
n	0.5711309426	0.4198056843	0.0062260137952	0.0010586390152	0.0017787425566
a	0.24782249308	0.693497814	0.05431432466	0.00127777943	0.0030876317216
a	0.23963656664	0.6424515442	0.10754963976	0.0090095168886	0.001352748488
f	0.19345272174	0.4828649668	0.269506246	0.021447460208	0.03272864438
o	0.039412487988	0.6646195258	0.189050367	0.05052087206	0.0563968004
r	0.0224173041	0.3417494576	0.3628463782	0.170140733636	0.102846129908
à	0.03851182288	0.2822679266	0.3886553548	0.129266297	0.161298624
s	0.018309504154	0.0274755382	0.644988482	0.2666897982	0.0425366896
o	0.00606567811	0.17027347126	0.64755902	0.1282040468	0.0478977858
t	0.042441060834	0.01420959984	0.503729484	0.312476993	0.127142825
o	0.005866097094	0.02637621332	0.395649546	0.47759002594	0.094518135
t	0.091870802558	0.0150277204192	0.21350560788	0.492477306	0.1871185232
s	0.005200081454	0.00825266277	0.1826590044	0.601369366	0.2025188776
o	0.0109771081222	0.0030444235448	0.1903685204	0.688422532	0.10718741108
m	0.015807595894	0.011983376108	0.065236040116	0.477833775	0.4291392166
ì	0.016179786494	0.00177869824	0.03057643472	0.70162646	0.24983862214
</S>	0.0381336600878	0.0196260322243	0.0262083675	0.408048322	0.507983629
