 	il	ladro	è	entrato	da	qui	</S>
o	0.980979378	0.01257633588	0.0022127041496	0.00307677134924	0.000448723448794	0.000548838190784	0.00015727419399
l	0.3819035682	0.584244134	0.0143020256	0.002112448074	0.005369221306	0.00256673345824	0.00950191369292
à	0.33753505512	0.639714646	0.011371426668	0.0088460883	0.000270806176	0.000627315014	0.001634607867
d	0.0781728842	0.877569114	0.03397708348	0.006149659588	0.0015923680187	0.000634468368026	0.0019044278982
r	0.0822717244	0.829675814	0.02303194382	0.0311815706	0.004370111878	0.011820685946	0.0176481090792
o	0.3452609096	0.3268537236	0.05160464968	0.148186002	0.0556275252852	0.024777821716	0.0476894043196
i	0.075117234114	0.2903035668	0.393433199	0.104821562	0.098293693322	0.025865721479	0.01216501951
m	0.00631232632	0.1088799528	0.605686824	0.22516496	0.02793432804	0.010424581544	0.0155970373834
b	0.00355381736	0.05112456972	0.284892697	0.598909088	0.02236020268	0.033614330194	0.00554528986
ì	0.0125843261388	0.015394948004	0.1308249128	0.770628038	0.0321771632	0.034471833494	0.0039187736164
k	0.005191797418	0.0166929146	0.467459196	0.0964255308	0.3295481732	0.052743650784	0.031938697822
e	0.0046664761704	0.00805105275	0.07084929334	0.716022912	0.0881997658	0.0798563074	0.03235422246
a	0.123443270076	0.0270930718	0.0665584578	0.0643182484	0.428746266	0.2280389145	0.06180180224
p	0.01750811472	0.02377615738	0.044688844566	0.0812810032	0.3860478808	0.360905002	0.0857930402
ò	0.006531812051	0.005255179463	0.02322725758	0.080441966	0.3458467088	0.3793273034	0.159369751753
t	0.00515505312	0.003021849026	0.00370873706	0.003694811722	0.22220587956	0.5225019012	0.23971175096
t	0.00088899459226	0.001383469774	0.006926788204	0.023488986012	0.1984257608	0.6914777	0.07740827962
u	0.0177164010602	0.00738305140552	0.0152362191716	0.02255356902	0.0360625876	0.617044936	0.2840032312
</S>	0.0031204499	0.006775096256	0.0300940371408	0.018321661781	0.056926348132	0.355335246	0.5294271688
