 	mia	sorella	ancora	non	è	venuta	qui	</S>
t	0.97695128	0.02089125612	0.000975889795	5.72605068e-05	0.00028542584424	0.000424745096354	0.000206308507192	0.000207813755492
i	0.689514384	0.27558847674	0.0044870514788	0.00160114761808	0.002210303679	0.00140324528468	0.00187493342521	0.023320440795
n	0.49180136	0.4730621688	0.0044756084002	0.00512047898976	0.00339069286024	0.00140704844869	0.0189575990627	0.00178503055709
a	0.41161105752	0.5785847326	0.002598712792	0.0008434296052	0.0005564074744	0.00020133883444	0.0005037445345	0.00510057195242
d	0.26850212374	0.716413852	0.005545040332	0.0029196679354	0.0008138916922	0.000622684988353	0.00080691950332	0.00437581403766
r	0.16463891027	0.802843788	0.02389325884	0.0026750956253	0.0012221512488	0.000590454983	0.0013423044372	0.002794010872
e	0.2371424286	0.715555578	0.0194523692	0.00270469818	0.009040573532	0.00273475538844	0.0110068269651	0.00236276317261
f	0.10035091708	0.80592666	0.0718576362	0.01186321894	0.0055706834768	0.00264894029814	0.0003678637268	0.00141410430973
f	0.08675450604	0.715073318	0.144735074	0.015515939335	0.00888038632	0.00393063628	0.010485705364	0.0146244715504
ì	0.21252489676	0.52177558	0.1041497634	0.06922621405	0.05400432269	0.00770581727	0.024476999936	0.0061364048918
m	0.07976444319	0.527218184	0.2040431514	0.1359702948	0.039697775	0.0085804424791	0.0026387405234	0.0020869546722
m	0.032210361908	0.353111047	0.435727851	0.05046092632	0.0361746222	0.010823671036	0.02181644328	0.0596750895632
u	0.21154221898	0.2490186248	0.3161679772	0.09929605596	0.04786166254	0.02988144156	0.034856246438	0.0113757877112
a	0.035453821954	0.04150559026	0.62198918	0.1691275552	0.0891863562	0.02159481028	0.0168192965226	0.004323393818
n	0.0136187862	0.01922896696	0.5995332	0.161505976	0.074382477	0.1153595433	0.003933037596	0.0124379865808
k	0.0431655031544	0.008656309292	0.629086666	0.1084041174	0.0754356464	0.05131892576	0.057111632072	0.02682118402
ò	0.160236338267	0.0399569919612	0.2523843668	0.1237829394	0.22430322372	0.0602443498	0.082391042	0.05670074512
r	0.00987626052	0.003687739126	0.4945949088	0.1990113118	0.1120994326	0.16821336366	0.0114949878188	0.001021996453
a	0.00301490246	0.002023766856	0.571125556	0.1423987544	0.0935038738	0.0661091959	0.096085432068	0.025738512114
e	0.01766322052	0.013564061966	0.0722503122	0.2415563534	0.422077654	0.1744660968	0.03817340788	0.02024888198
n	0.00952937452	0.008481009524	0.04523760134	0.1264521484	0.3097542018	0.4266389176	0.04338208076	0.0305246605
ì	0.0094026569134	0.0015309956826	0.03055008274	0.08117179556	0.2380193408	0.398507916	0.1967753476	0.04404187722
r	0.00775675028	0.007376425106	0.0168104052	0.02836858558	0.2627665072	0.542677646	0.12197396228	0.01226968856
t	0.0024297509748	0.0004575602866	0.027488377	0.01770020566	0.27294264132	0.2520091746	0.369347812	0.05762446598
e	0.0420313882401	0.0162244625555	0.02532974674	0.0252599395	0.1470721927	0.248188395	0.373379364	0.12251454468
e	0.00293930092	0.007670067964	0.005646996068	0.0172132884	0.0658049969	0.2478032304	0.342777744	0.3101443816
t	0.0147058861	0.027549535774	0.005740121779	0.00787693062	0.03184392348	0.211654671	0.420351278	0.2802776732
t	0.0063902338178	0.00112640710574	0.004676363706	0.00276815987	0.01238783678	0.17400235612	0.692467494	0.10618117792
ù	0.00927350475014	0.00579558281603	0.0038123624632	0.009599932958	0.026613367922	0.0944563934	0.627514554	0.2229342848
</S>	0.00454348758	0.0139525856764	0.002174557964	0.00946122448	0.00951163904	0.02728925664	0.529251804	0.4038154526
