 	ora	che	loro	non	vengono	più	</S>
à	0.99256458	0.006029508764	0.0009077729572	0.0001156832822	9.754295338e-05	9.2803632926e-05	0.00019210509626
r	0.90608331	0.075320101	0.002235318746	0.0098520796452	0.0024947417656	0.00033075433834	0.00368374001945
t	0.5316518248	0.265680464	0.0847908829	0.0171347760484	0.0045665767848	0.00462108134102	0.0915543891471
e	0.2929271222	0.483300156	0.087969879	0.0964622511	0.025649733026	0.009504151348	0.00418668946052
k	0.07765496356	0.784957234	0.094945076	0.03592501526	0.0043812651552	0.0003612108206	0.00177520904886
a	0.0547071926	0.501385682	0.348799238	0.04105793532	0.010001153515	0.0221829557426	0.0218658606715
c	0.00776671574	0.3122440828	0.411317402	0.2343101904	0.027271784932	0.0013348819126	0.0057549812375
ì	0.02991784731	0.1625669154	0.6408775548	0.020115379	0.010163960898	0.021990302058	0.114367993263
n	0.005213004238	0.0482407049	0.4927950304	0.366939007	0.0838336261	0.001805114716	0.00117347581344
i	0.0147984299	0.1791696178	0.594248584	0.0857042428	0.106757175	0.00940859606	0.009913372944
e	0.029259137542	0.04830076748	0.0902435762	0.398614857	0.391293992	0.033032458	0.00925521418
n	0.00708494852	0.025527323646	0.0998604372	0.363283824	0.433094824	0.02255579416	0.04859289847
è	0.0144710250654	0.01888606024	0.1700883384	0.2107164034	0.386183252	0.1397496615	0.0599052824
r	0.008224143704	0.0095752198458	0.037396046072	0.1486901876	0.715328536	0.0723146604	0.008471178966
k	0.000503115128	0.00495503652	0.0819353497	0.0460238002	0.60214894	0.2177240344	0.04670970778
o	0.033582532206	0.040847446626	0.04956734324	0.0624139062	0.480504768	0.192834444	0.14024955228
t	0.001760948892	0.002535906264	0.003919283478	0.0166831392	0.397429184	0.420998836	0.156672677
t	0.0022407147446	0.0130840723464	0.010118063848	0.00758944406	0.250806252	0.553986108	0.162175334
e	0.00188497342616	0.00365271014926	0.0035990463192	0.024604124324	0.276132637	0.507102654	0.1830238898
p	0.001610287102	0.0036888623488	0.0029138993472	0.009612030528	0.1408990608	0.5602088	0.2810670346
l	0.003906474984	0.00536133127	0.00270805801	0.002499033	0.02988847968	0.625106956	0.3305296908
è	0.0011373960543	0.0040044117611	0.0030422634522	0.00520812252	0.038736006812	0.720560314	0.227311494
o	0.00542032790316	0.00397305336446	0.0008862063693	0.002879399442	0.02326117844	0.843073412	0.12050640108
</S>	0.081777277296	0.0196281888904	0.020259204648	0.0080433364852	0.0497298835	0.364347775	0.45621434754
