 	vado	trovando	un	forno	che	fa	pane	buon	e	non	so	dove	è	</S>
i	0.991449048	0.00705533473	0.000611517328	0.000431828837752	4.3617265054e-05	4.8436578154e-05	8.412174131e-06	6.77914348318e-05	2.25895220694e-05	6.3866672864e-06	2.76445958712e-05	1.1940468675e-05	4.75117193304e-05	0.00016793070058
p	0.780676352	0.1880730968	0.01574170664	0.00247645175562	0.002480824005	0.00182892764777	0.000157249235006	0.00026633493214	0.000284840005448	0.000638514535994	0.00143318751551	0.00068568862561	0.00338325154312	0.00187359878104
à	0.742807654	0.2403568392	0.013150868788	0.001156834242	0.00030237727	0.0001125026943	7.904435146e-05	0.00036305612114	0.000270029263734	4.68434349435e-05	1.561881001e-05	8.606773637e-05	0.000493732083483	0.000758485977327
o	0.663040598	0.2980190996	0.02422979126	0.0033773786614	0.00340780264482	0.00191319639619	0.000235338755889	8.24886819072e-05	9.94296595369e-05	0.000434138023591	0.00326747771033	0.00014965117197	0.000317491122595	0.00142614873412
v	0.19556494112	0.60093924	0.1748419184	0.0108248298918	0.00157169031616	0.00122710882575	0.00052128067844	0.00012468641	0.000290271562188	0.00269112859787	0.0039932544481	0.000743738475734	0.00159289233526	0.00507300003917
r	0.11812570924	0.580650068	0.194192412	0.045206559892	0.0128837199546	0.0043850619728	0.00198289539434	0.00356096533282	0.00585824483331	0.00228651792284	0.000701631636212	0.000139783007504	0.000813009034635	0.0292134074771
ì	0.18311121926	0.644644754	0.1066473854	0.022220178128	0.011330758008	0.00342427680936	0.0203126344783	0.00215783503784	0.00097122990197	0.000557977510966	0.00193220476943	0.00020292885938	0.00186255451361	0.000624064064476
s	0.04467320312	0.46649439	0.443710888	0.03445873868	0.00611303163354	0.0014190335032	0.0003500269767	0.00235938160692	0.000176464121724	9.501679838e-05	6.0526564478e-05	1.58733850446e-05	2.8529762698e-05	4.48586784e-05
k	0.02284018108	0.519208375	0.372356034	0.0226514208	0.009532068626	0.003143449264	0.00383804948	0.006464310944	0.00202325820614	0.00459730874961	0.00040275954698	0.00027181525982	0.00421069387011	0.0284602515608
o	0.08097270006	0.1660130492	0.501665694	0.07990006386	0.0399833996829	0.0152723058839	0.0338323932389	0.00895408268566	0.0118958078676	0.0251311530708	0.0091441006073	0.0039414576898	0.0184975556508	0.00479622171975
n	0.018966526498	0.19301181	0.679313914	0.0797964832	0.0162199192	0.004016804648	0.00325971751	0.0035046150564	0.000900190251	0.0003372253848	0.00020394854394	7.777642334e-05	0.00010094923736	0.00029014932644
t	0.006431623808	0.18099043704	0.492089416	0.20759519	0.04031546574	0.012797669258	0.011866455228	0.00646706556	0.0123468655408	0.00918417420907	0.0011818788706	0.0006479732128	0.00584781208736	0.0122379456344
a	0.0128200233268	0.262696074182	0.333023418	0.224218396	0.0757970556	0.0220363125628	0.0224553507814	0.0066308106784	0.0142570982555	0.00428152733776	0.0136436859259	0.00091942296742	0.00599321660542	0.00122757401569
n	0.003228617082	0.03973150536	0.47787235	0.3501361868	0.08957825586	0.0117853423	0.0055808930944	0.0137736826764	0.00663440503563	0.00070929545526	0.00059859975776	0.000107450112601	0.00013852822114	0.000124864345274
a	0.0023825267676	0.0756809928412	0.3214943124	0.40852163	0.0865702958	0.029492619914	0.011738113484	0.0129351261272	0.0195002195788	0.00875995833892	0.0016362378714	0.00061170001238	0.0052941764546	0.0153820978102
f	0.004044880828	0.011626071646	0.2013410238	0.510750104	0.169384133	0.0248503018	0.00948025896	0.0489071065226	0.013659415193	0.0016273038854	0.00113723806682	0.000202867987021	8.522419496e-05	0.00290409102594
u	0.001170473752	0.00998771606	0.1259117198	0.594355154	0.1504370902	0.04608803866	0.010457139932	0.018374336632	0.016990604968	0.0093040740453	0.0018764572446	0.0005593422674	0.00223331040952	0.0122545171854
r	0.019586248682	0.007130365312	0.10410595328	0.51463525	0.258208242	0.044518103	0.015578476832	0.0184815721322	0.0129043424172	0.0016794356006	0.00079230101768	0.000230766905525	0.000101377375149	0.00204758041996
n	0.0016354195946	0.005896452442	0.06737813114	0.542531372	0.214819776	0.072403675	0.02224314722	0.013498930152	0.021237372116	0.0161999657249	0.002223401985	0.0010974344074	0.0020232061723	0.0168117171086
o	0.014872900501	0.021826127572	0.026175011804	0.3043684074	0.317173232	0.1121903422	0.1169954316	0.02277684178	0.039500439928	0.010873239574	0.00491211251	0.00219017311	0.0018572527544	0.004288473901
k	0.001686610312	0.0023345781178	0.0137821468856	0.1612517002	0.509716638	0.175566754	0.06868312972	0.0101433269	0.047707376764	0.00349330201	0.0020324161932	0.001029809949	0.00017687347	0.002395319115
a	0.00118658570886	0.0033876486686	0.024294608726	0.292480588	0.287849792	0.182941159	0.0618016054	0.0352413332	0.04881420792	0.01738687791	0.00843605349	0.003167224662	0.0076464252566	0.025365907084
k	0.002118078716	0.003081959576	0.0094498940792	0.1076489808	0.452570372	0.27212154	0.0786318924	0.0159335542	0.049450979604	0.00407921664	0.002142738099	0.00104302030874	0.0001350572812	0.00159275381022
à	0.00092059489146	0.0021140668146	0.00573333314	0.1763403306	0.306535004	0.246713892	0.1006282662	0.0457578812	0.06148075468	0.02022873736	0.009683777016	0.002738381337	0.004373956498	0.016751048944
n	0.003097884052	0.001878976784	0.00394183535	0.0518529416	0.271344632	0.37438493	0.1869816804	0.0277031088	0.058908756116	0.0100675151	0.0062037644286	0.00289957514466	0.00018986005656	0.000544543459718
n	0.00133257086164	0.001413809649	0.003482063656	0.1322333	0.212375952	0.386613428	0.096150942	0.0675405456	0.04296371234	0.012957779026	0.006382031118	0.003595353104	0.0143199042556	0.018638613348
i	0.0146829177017	0.00649158563069	0.0823734751783	0.109423179508	0.0863471836	0.2477944734	0.25817743424	0.03273584058	0.07294524445	0.043827378236	0.021438468606	0.0092018970432	0.00563588798968	0.0089250287664
t	0.000438468768	0.0005190894214	0.001322912952	0.004224828092	0.0659787746	0.3116316248	0.407750848	0.08733748378	0.07915150852	0.0155845244	0.013779711614	0.0102045185942	0.0005231910054	0.00155254723654
o	0.0009997145493	0.00103898026748	0.00099651389764	0.040158613726	0.122524444	0.26743691	0.249163144	0.13354326126	0.08598187506	0.031639733854	0.0216791792	0.0059221968266	0.0155817261276	0.0233336984975
t	0.001283705378	0.0031932667752	0.0032074488014	0.007086521946	0.06316256914	0.283711918	0.2255600912	0.152514805444	0.0857498572	0.04073952874	0.04210846746	0.0782324801276	0.00369265807128	0.00975668362565
s	0.00084555392364	0.00072573020976	0.00069792749588	0.010212226164	0.04324354222	0.175735664	0.2770831038	0.250939049068	0.073700854	0.05102630534	0.0493457324	0.01796679696	0.017305089415	0.0311724084247
o	0.00330641561204	0.000588506391746	0.000619386220888	0.00434333971	0.0395647964648	0.115614508	0.4610133754	0.139874155847	0.026604869	0.041367728432	0.0467919839	0.04595629088	0.0280589314852	0.0462957193708
m	0.000824240352	0.002237876338	0.0022006118601	0.002658878116	0.0227108797	0.1936552002	0.205817746	0.19831163643	0.1434034072	0.0450987322	0.03986128966	0.112734304276	0.00875185637954	0.0217333378257
ì	0.002708656975	0.00086976674834	0.0006950773138	0.003667282066	0.03355162279	0.1132681558	0.292210526	0.265336989654	0.0500351586	0.01408326424	0.04264771628	0.04050669438	0.029936285054	0.110482803934
k	0.0007301208286	0.000720255517	0.0006305230698	0.00165753154	0.01153257542	0.085038703	0.0841324024	0.33225001954	0.1732858166	0.083215877	0.040374696618	0.103056297424	0.028959869076	0.0544153134144
a	0.00056046962068	0.0014676625296	0.000472483258	0.00190474089	0.0174710079	0.0923393544	0.1427741978	0.25746666454	0.15799563144	0.03531411412	0.0585329636	0.023739202668	0.071177191688	0.13878427888
l	0.001581864128	0.002261899836	0.00215025646	0.002213674172	0.00771287926	0.0226332915	0.0483017418	0.2661728994	0.2752194624	0.102102304	0.06365510042	0.08561025994	0.03803428332	0.0823500934
ò	0.001006736848	0.0012733825482	0.0004903491514	0.0007710992132	0.005013118478	0.0289692511	0.10120092824	0.328568712667	0.1982525508	0.016896563	0.0647044032	0.0282453566	0.07345527838	0.151152286164
c	0.001408184308	0.001072157406	0.001013752529	0.0013154409228	0.003657086512	0.01064871276	0.019472143	0.2620793882	0.273996072	0.0853196079	0.1348012816	0.0837140468	0.03735169912	0.0841504383072
e	0.0029066194486	0.002429394071	0.0051143659768	0.001521215047	0.002895152618	0.02374732714	0.05355534582	0.18173052143	0.26930332092	0.04560803738	0.11674460936	0.04427569086	0.0851017416	0.165066645232
e	0.00256405166	0.002240696798	0.00308886546	0.005678150144	0.008881533294	0.01473320944	0.025233757	0.170510713	0.278938582	0.1434461968	0.1213059674	0.105914389	0.0372016709	0.0802622261
n	0.003106031762	0.0051244782486	0.0043260146072	0.003500594356	0.0040419330734	0.011913375026	0.01444536754	0.11730315014	0.1614045168	0.1571453862	0.1992863716	0.132209024	0.06372613788	0.122467585
i	0.0059155239135	0.00245855292592	0.00109841312916	0.0016440685868	0.00745768307594	0.012836297682	0.011053077434	0.202398429866	0.18556803676	0.02707834658	0.1838328996	0.1297113372	0.1306730088	0.09827433958
t	0.002659675374	0.003140829802	0.005274047492	0.004753006958	0.004905321014	0.0066132176	0.003641804	0.1669086872	0.1533968708	0.09160328124	0.1845001508	0.169693192	0.1134098804	0.08950005174
s	0.00134710703748	0.00156279631516	0.0006941133989	0.0005793375678	0.002341496327	0.00397023949	0.01008778928	0.134232778255	0.1760395256	0.02663500528	0.1916901812	0.145812782	0.1927497324	0.11225709054
è	0.00402839604022	0.00241483563882	0.00178034386667	0.0009426361796	0.0036619923916	0.01273667476	0.020916372754	0.103029522018	0.15656256514	0.020340427066	0.10346108234	0.2318412184	0.1398251452	0.19845878496
r	0.00149517890754	0.0009795030932	0.00197673022628	0.0021371113161	0.0022585819512	0.004892054886	0.00631230126	0.06041317032	0.1170527118	0.0483622072	0.11392860326	0.234527564	0.2733083792	0.13235588176
o	0.0009671649166	0.0050829911322	0.00124884145056	0.0001255084522	0.0018816977524	0.002322051348	0.004887219786	0.041139517	0.12516824178	0.04069723038	0.3181749792	0.1384200776	0.1452120838	0.17467240324
p	0.00594002257	0.004943261392	0.00786206051	0.009828931354	0.011323890712	0.012916201512	0.01087842926	0.07917062626	0.0749829912	0.04558007346	0.08708815404	0.1613343492	0.2292964312	0.2588546146
u	0.00600706463954	0.00073953112022	0.000374571457388	0.00036697457978	0.00337858718588	0.0041057260894	0.008735035278	0.033947448448	0.0677665332	0.02054957876	0.1426444082	0.184416991	0.239358508	0.2876090192
s	0.0082100825648	0.0040230772539	0.00696958107324	0.0129044055872	0.0105860139715	0.0113649321429	0.0059487934248	0.02953447448	0.058729813	0.0569446548	0.07831055924	0.1593349	0.340423342	0.21671538272
t	0.00814163082156	0.00343190075332	0.00109738511073	0.0003899026923	0.0018682001564	0.0020257982464	0.00323446269	0.023125391959	0.0431170926	0.00836153162	0.14733887726	0.1761860774	0.40726861	0.17441312896
è	0.00600783679192	0.0024949707811	0.00242845671998	0.00109756295712	0.001937836952	0.0061914515968	0.003949447648	0.013494881572	0.03913422184	0.012600958537	0.0840401936	0.416016473	0.179014794	0.231590909
i	0.0033032155095	0.003146723985	0.00487385016632	0.0066380536827	0.00422470549068	0.005640233994	0.0050153482096	0.03459925852	0.0275147793	0.0307612582	0.03768453324	0.1859004264	0.43358604	0.2171115773
</S>	0.0103676645386	0.012930810104	0.0180554245792	0.0149675828678	0.029651400808	0.03477363677	0.023484488214	0.03163740076	0.045451377106	0.04285447894	0.02488010998	0.0858962833	0.246781094	0.378268246
