 	si	è	rotta	la	coppa	</S>
e	0.902926236	0.07471341074	0.015705006592	0.00130435060994	0.0043619988439	0.0009890181939
g	0.471760362	0.279585648	0.1702209076	0.01593707488	0.014838259042	0.0476577379764
l	0.2794856362	0.2939330674	0.220460038	0.04386405788	0.03511609139	0.127141080156
à	0.03609992494	0.38492174546	0.18098364656	0.2652571134	0.0720860986	0.0606514330088
s	0.02367525166	0.20356373206	0.498184236	0.2308589296	0.03050665704	0.0132111699938
t	0.018060336734	0.11530787266	0.375210414	0.2309609536	0.184788665	0.0756717574434
i	0.047893749964	0.012747773766	0.4656434658	0.2687446712	0.05689380922	0.14807660181
e	0.01125417334	0.01777284598	0.3073371026	0.515385156	0.0994162058	0.0488345094
c	0.027627591952	0.015843843322	0.0934422571	0.493582716	0.265231707	0.10427188314
ò	0.00225839544	0.001852767574	0.01183129176	0.246049996	0.482782427	0.25522510446
p	0.013429971424	0.01877666737	0.02828614046	0.541662402	0.3356386848	0.0622061117
p	0.0021247053552	0.0014935215714	0.002146327064	0.07424781868	0.842510182	0.07747746624
a	0.019000418804	0.00711724075297	0.02287388438	0.12336765672	0.45802744	0.36961334222
</S>	0.12863582834	0.0285164868084	0.0860379281	0.0663474207	0.1357322924	0.554730034
