 	forse	sono	usciti	</S>
f	0.996476758	0.001237792314	0.0016842190222	0.0006012291774
ò	0.939881312	0.00728200264	0.0463037494084	0.0065329064228
r	0.807736276	0.1690984446	0.015813091	0.0073521484858
s	0.65423766	0.1557888788	0.081770278849	0.108203164054
i	0.592337037	0.2316729284	0.033730486152	0.142259561168
e	0.0817687761	0.812037376	0.0749846819	0.03120918584
g	0.0424211434	0.3938827908	0.50827548174	0.05542058658
g	0.03425169346	0.674228883	0.2327296044	0.0587897913
u	0.127011803786	0.223330856	0.2367511814	0.4129061356
ì	0.00429954806	0.2253641484	0.575961332	0.1943749798
k	0.01023171698	0.11107264052	0.64000424	0.23869139338
a	0.029020785714	0.317168664714	0.47859258308	0.1752179524
n	0.05900588074	0.0595330843	0.3824929224	0.498968118
e	0.04723044246	0.26086839482	0.470462504	0.2214386596
</S>	0.114111220734	0.09401764652	0.1943443772	0.59752673
