 	i	bambini	non	si	vestono	da	soli	</S>
t	0.88319892	0.11477753334	0.0004666920596	0.0005252339509	0.00035332607646	0.000185642225676	0.000383844906888	0.000108790116272
a	0.7199177708	0.26200856006	0.00107999904614	0.001836364804	0.00093984233608	0.000840780313409	0.00195225099393	0.0114244104239
p	0.3436410096	0.63512970012	0.009183399492	0.0020512942916	0.00260013764766	0.00241586815998	0.003936425635	0.00104214252991
e	0.2738337381	0.6200935868	0.08137762673	0.018434168289	0.0030861107002	0.0001123975658	0.00133650161292	0.00172588313718
t	0.158732254	0.811806548	0.022142113	0.005050418604	0.0008205000384	0.000214015959718	0.000144122995381	0.00109003087624
ì	0.12166657028	0.760695722	0.07556403666	0.024109211914	0.004470765468	0.0011251461898	0.00574254073846	0.00662598244691
a	0.0397536946	0.715058744	0.2265088557	0.01742804822	0.000593170881	0.000307869674372	0.000244448336939	0.00010516476108
e	0.01812108802	0.279883314	0.4652412444	0.176051875	0.039333004424	0.0104231349618	0.00544504205	0.0055013581954
n	0.023037483688	0.1277434368	0.3854955934	0.2931761972	0.09843366639	0.012603639582	0.0096982936764	0.0498116684022
i	0.041302806954	0.1669727156	0.16950561368	0.4088706708	0.1387516906	0.010607876	0.04086396082	0.0231246878
n	0.055657926554	0.053804235	0.325907068	0.462350202	0.0664081314	0.015222472074	0.0079201526738	0.0127298132758
d	0.015886338876	0.053265434956	0.1352330658	0.36730687	0.33096753	0.01723769966	0.0415465715	0.03855647796
ì	0.0574458333058	0.129037268626	0.0174060286	0.2981970756	0.2065797672	0.1429821184	0.107921478	0.04043045512
n	0.00589558818	0.0091892273	0.0766446482	0.350966776	0.487527382	0.05652222542	0.010322790094	0.0029313536152
n	0.0127230155476	0.03272608796	0.0595438024	0.2950095432	0.45783848	0.02987804938	0.0503280017	0.0619530438
o	0.16920122774	0.12481234242	0.02772483762	0.1421938004	0.23695186	0.11218326366	0.12062950586	0.066303152506
t	0.026414774166	0.028045576676	0.0553261036	0.1207537098	0.27167938	0.417475762	0.0467445697	0.03356012292
t	0.00441637688768	0.0162069396132	0.016865716826	0.08842397678	0.4498422	0.2283095684	0.1137587816	0.082176417648
e	0.0022784690307	0.00434416048155	0.0225345846906	0.0936689669	0.2042575188	0.429418134	0.1820763672	0.0614218064
m	0.0052892517194	0.0062272702232	0.02379468732	0.0309678352	0.1472433878	0.615472992	0.0936471688	0.077357428
a	0.003091541488	0.0196317680298	0.01511463164	0.034138242	0.1996677588	0.446072938	0.1325104122	0.1497727548
n	0.026837909738	0.010623066652	0.01145171926	0.02834019675	0.0730592497	0.492006672	0.2674388674	0.0902422964
e	0.005840313579	0.0233125089543	0.0457302508104	0.015281277312	0.0796173252	0.3524069934	0.2599519994	0.2178593204
c	0.00844296904	0.009972282856	0.0112833789028	0.01336673286	0.04987293014	0.2733546334	0.515981421	0.11772565452
h	0.0084781927092	0.0881442879738	0.036723055641	0.01380004268	0.01823760508	0.2087366876	0.390059836	0.235820317
à	0.00377472759924	0.00567581178928	0.0059016896132	0.006101907554	0.00703833306	0.138309696	0.561555362	0.271642478
t	0.0049467338672	0.00199440378	0.00441873058	0.00309196566	0.01617618954	0.1609953746	0.54413921	0.26423737848
u	0.0030570097136	0.0246697694022	0.0054288776884	0.004094262258	0.00920741368	0.1319706783	0.605193634	0.2163783394
</S>	0.01207864258	0.01147226574	0.016596980356	0.025134636534	0.02903818566	0.084048938	0.229969848	0.591660556
