 	hai	già	mangiato	</S>
ì	0.995480966	0.00259639378	0.0008437535348	0.0010788997456
s	0.713690586	0.19856036008	0.050623145796	0.037125921699
e	0.586674024	0.1920279032	0.15467532844	0.0666227245118
g	0.1495836551	0.80479541	0.04308343884	0.00253751772
i	0.0638378844	0.70514872	0.1864093286	0.0446040506418
à	0.02874715556	0.830942908	0.1200285708	0.02028137732
f	0.00848606436	0.304275204	0.616924884	0.0703138158
a	0.003083227098	0.1551889865	0.755292794	0.08643500764
m	0.0280361733	0.0489402036	0.714857354	0.2081662412
è	0.004743292664	0.01180292098	0.75109194	0.2323618706
n	0.106658461933	0.00725166396	0.758521352	0.12756856092
a	0.049663012392	0.01763794384	0.6385927	0.294106334
</S>	0.098357424112	0.03691872714	0.2391596454	0.6255641902
