 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.980068024	0.018349446892	0.00026788051688	7.220978136e-05	0.00096458340308	0.00027785266598
c	0.8947547	0.098966517374	0.0019132875236	0.00102923817282	0.000319339364832	0.00301690631505
h	0.616131282	0.3701788438	0.0071644358392	0.0005933688948	0.00172593957564	0.00420614963466
e	0.6852594796	0.3038338556	0.006940317994	0.00257352975074	0.0010508683635	0.00034194793827
p	0.1343337366	0.836624502	0.01488366446	0.001089919333	0.0124090855319	0.000659096557
o	0.05151319726	0.784724368	0.0588498956	0.01468046294	0.0804773444618	0.009754733015
l	0.03783969818	0.827436234	0.0902629158	0.006261564728	0.0167478054104	0.0214517986578
e	0.004001638	0.811698588	0.15485697477	0.0067755647	0.018710246068	0.003957026178
m	0.00533943922	0.574112228	0.38994692266	0.02126701386	0.007477878962	0.001856531746
ì	0.0076922759	0.51685316	0.4003909236	0.0099984553	0.053219424024	0.01184580598
s	0.0092793493764	0.4209876312	0.5154052538	0.04872506614	0.0033286472	0.002274035484
o	0.004149019604	0.3087360178	0.634587928	0.03537815108	0.00799538029	0.0091534582664
n	0.03938738914	0.09587898318	0.497195488	0.287474328	0.07219121856	0.00787259812
t	0.015350636354	0.07745673412	0.732285058	0.120148764	0.03589136526	0.018867455716
a	0.001447900235	0.01056139964	0.721617538	0.185304104	0.03320613	0.0478629076964
ò	0.02511893915	0.02527607484	0.3170860872	0.48760602	0.1243038318	0.0206090504
l	0.00717580594	0.00713296104	0.2909777521	0.417994778	0.2492014088	0.02751729222
i	0.0456785638814	0.003661768554	0.237605254	0.534507464	0.1313466702	0.0472003012988
t	0.029918638984	0.008346171314	0.0208030282	0.500940258	0.32341328	0.1165786186
i	0.0166232029844	0.0027797828448	0.0777770416	0.49665498	0.267262518	0.1389024637
n	0.009963019316	0.0074340981724	0.008085531496	0.3429363914	0.457601882	0.17397907852
a	0.044145032858	0.0053443730849	0.0191093963	0.3507728034	0.36720565	0.2134227428
d	0.012040925206	0.005157544842	0.005303580908	0.1922227392	0.564910286	0.22036493486
d	0.021968578684	0.0028658888248	0.01092396884	0.087497018	0.643324576	0.2334199806
o	0.0130149728536	0.00313468250456	0.0222374741264	0.2171254018	0.500807089	0.2436804042
m	0.01119129464	0.0200621139018	0.030939568818	0.1321629032	0.372500662	0.43314349
à	0.018627999636	0.0042260322741	0.028401888828	0.0827217826	0.61462021	0.2514020846
d	0.022085869152	0.001053684192	0.002238930682	0.0197636726	0.632975112	0.3218827392
a	0.0431764137286	0.0026871269318	0.0107663834262	0.03983325518	0.703683976	0.1998528908
</S>	0.04277659954	0.044018803122	0.0109259958	0.05097563886	0.1440097346	0.707293238
