 	non	deve	magniare	la	sera	</S>
e	0.905675728	0.0875326536	0.003160897854	0.0008785972733	0.00082685095912	0.00192528511866
n	0.55755161488	0.2047298628	0.053441452	0.00304513794	0.003684252742	0.17754771145
è	0.1522836592	0.672081194	0.09054111124	0.00680318001	0.0556348164308	0.022656085698
n	0.03028427576	0.746646104	0.211123381	0.00386796984	0.0024116144516	0.00566669398114
a	0.02733062004	0.6377683564	0.0685184982	0.00795267392	0.195146039431	0.063283825998
f	0.0159732748	0.3408839478	0.47876089	0.143749073	0.018642650826	0.00199014248
à	0.01537602426	0.2047215214	0.500737911	0.126788652	0.06590334542	0.086472566676
i	0.0199903496	0.06407611602	0.60672118	0.281942386	0.020542700296	0.0067273045814
t	0.0186312026	0.0582423298	0.225135561	0.543282648	0.089949796	0.0647584434
o	0.0073774969902	0.0178163647866	0.1730387314	0.589656024	0.1403620022	0.0717493861
v	0.01640313446	0.02440389794	0.08705222508	0.581900274	0.2423865712	0.0478538646
r	0.0737714643534	0.0268380980326	0.03936194972	0.318876237	0.4063116014	0.1348406492
à	0.00349074040792	0.0095576439772	0.016125046436	0.1992423	0.4386098622	0.33297441694
i	0.010174261406	0.00520900576	0.02038780172	0.2992792934	0.561789854	0.103159804
</S>	0.05320319386	0.033037883264	0.018553695777	0.11061679634	0.3943241488	0.3902642928
