 	non	aveva	dove	aveva	per	stare	</S>
e	0.837032598	0.14680796574	0.013941050454	0.0012851798884	0.000295092926442	0.000314641431229	0.000323461792891
n	0.4065527778	0.3731927496	0.02221678622	0.003192549134	0.0018648586038	0.0034713781152	0.189508914585
ì	0.04637297544	0.880348254	0.0511085544	0.008143571638	0.00070365559586	0.00159348468464	0.0117295149023
c	0.00834686472	0.927726452	0.0520555672	0.00385351946	0.00127116880048	0.00188103760672	0.00486536710143
h	0.061705494746	0.7475915692	0.1328510396	0.00747441092	0.0023617124554	0.0025352241174	0.0454805525668
e	0.0362802690018	0.585948514	0.3364001876	0.02070791008	0.0055765011848	0.0104046960504	0.00468187284166
p	0.0023042267	0.04107735392	0.8932496	0.055762554	0.004905642808	0.002286600042	0.000414099132
u	0.127109316788	0.0407069146	0.53687368	0.22598026	0.0407267316	0.022048846628	0.0065542608936
ì	0.01838202064	0.016989582694	0.1636039822	0.657537018	0.1014669364	0.02166741032	0.02035304124
c	0.00391029668	0.0064503443	0.03577944206	0.709095464	0.2111630398	0.0157461232	0.01785532692
h	0.043699548906	0.016596323476	0.0396900708	0.541836322	0.1573429774	0.0529942452	0.1478404911
e	0.0156002096316	0.011543698068	0.0399668372	0.564466574	0.1695600248	0.1140266976	0.084835940976
n	0.005012827232	0.02135664979	0.009452860158	0.1550827384	0.566560692	0.1228857352	0.1196485054
a	0.0151751113142	0.0115086132112	0.024950013054	0.2036096068	0.434158256	0.206235671	0.104362680332
s	0.00960875018	0.009727747384	0.013638104892	0.03264754852	0.346596238	0.3926422274	0.195139348
t	0.00146541467014	0.002602770558	0.0017341078706	0.01762694512	0.2658166228	0.4667544088	0.243999701
a	0.00759135756515	0.0006136089684	0.0013711809285	0.01501122585	0.294515994	0.46519393	0.2157027316
t	0.00743632007	0.0089892356134	0.0121150203512	0.02525391265	0.0993300976	0.4414292728	0.405446164
ì	0.000881739692	0.001252531492	0.00134036408016	0.0081563586	0.1213626968	0.584496384	0.28250994206
</S>	0.081864405714	0.0045728656414	0.0016990375254	0.005701656672	0.037878987	0.426971414	0.4413116614
