 	il	muro	vuole	uno	specchio	</S>
o	0.983268354	0.010479185406	0.00296420042986	5.2811843508e-05	0.00313523443452	0.00010024816498
t	0.5448354672	0.3932434092	0.0397542564	0.004553626968	0.0079008529406	0.0097124100965
ì	0.16380820446	0.6360117432	0.017283033594	0.001612532144	0.17060932084	0.0106751637443
c	0.0874996486	0.83588742	0.02275683926	0.0432556333615	0.00432478830036	0.00627566049021
h	0.2906895806	0.64087082	0.03541558994	0.0015607569264	0.0167494083187	0.0147138185275
o	0.376992788	0.4583735874	0.004183240928	0.154471167443	0.0033929846538	0.00258626849189
t	0.07432507082	0.618900448	0.209351792	0.062905715388	0.029948389968	0.0045685754528
è	0.007077332238	0.2120404688	0.626876606	0.01576844972	0.119974541168	0.0182625904019
l	0.01936881068	0.1670463438	0.741454844	0.0511134511608	0.0163397702332	0.00467675339169
i	0.0219397603	0.0497662554	0.853283822	0.034669913	0.0281845997	0.0121556450972
è	0.142742649362	0.12515641902	0.5187046408	0.0343256657	0.13652829038	0.04254233778
n	0.01511671343	0.0272900234	0.503063732	0.13422775416	0.21880978406	0.1014920144
a	0.0119184387358	0.02932395236	0.26774956	0.3166795308	0.3222348106	0.0520937085
n	0.14884664462	0.092306060156	0.0787566628	0.208166829	0.2465458558	0.2253779226
j	0.0053761612226	0.0194238680746	0.04248147984	0.3277576834	0.5369901846	0.067970626
a	0.05242528346	0.00806663772	0.09677619662	0.2364494321	0.242965721	0.3633167146
l	0.0098635584	0.0151920474688	0.0170760081856	0.29871457	0.4742521388	0.1849016792
ì	0.0033454317152	0.0171746661546	0.013726552646	0.24452814785	0.53929706	0.18192815972
</S>	0.001881647344	0.002094008842	0.004061873326	0.19031851814	0.5284351352	0.273208826
