 	deve	che	entra	da	qui	</S>
è	0.984327764	0.013290991	0.0013351612088	0.000582310043	0.00019912386846	0.00026461727976
n	0.7528503	0.17405272176	0.04151437442	0.0114606578132	0.002430467524	0.017691527164
g	0.657047898	0.1730644796	0.0933785918	0.00344345608	0.03569055888	0.0373750276552
h	0.06735462716	0.346699688	0.5172287628	0.04947317448	0.014146345296	0.00509739304
i	0.0665192824	0.368500276	0.5184082516	0.02785973448	0.007807195582	0.0109052349666
s	0.03963604228	0.51136012	0.310628212	0.10294584014	0.0315975289196	0.003832232536
e	0.0618358515984	0.3203020452	0.456873844	0.121097754934	0.03481434128	0.00507616179128
n	0.039244407968	0.1093811134	0.457831784	0.337972348	0.03929045068	0.0162799101
a	0.0404956986048	0.06755142864	0.514165486	0.29178759	0.07647924958	0.00952052178
m	0.03432057672	0.03413957608	0.215701919	0.55921454	0.1098733974	0.04674998266
b	0.010519819931	0.03703266788	0.40801903354	0.298418135	0.1852796702	0.0607306526
i	0.0224666179148	0.02194686362	0.1138982852	0.343496472	0.3517360952	0.14645566138
a	0.009180158692	0.01551954792	0.019955078932	0.422561822	0.3088816954	0.2239016634
p	0.03068837063	0.005293176412	0.01730659228	0.30187988202	0.494007787	0.150824182
ò	0.0102877087739	0.010822205446	0.010163887778	0.18634215976	0.5699496926	0.212434365041
t	0.0094861745492	0.00514506989	0.0033485260548	0.1691833664	0.602732592	0.21010427836
t	0.00067208107198	0.0024310113524	0.002143807278	0.02355441144	0.897973032	0.0732256277
ù	0.0117374187526	0.00402707602026	0.0125784053848	0.022194605452	0.734589194	0.2148732928
</S>	0.004700444824	0.005410820152	0.0123543486	0.03007040418	0.417949136	0.5295148308
