 	questo	muro	vuole	uno	specchio	</S>
c	0.993242048	0.004877596112	0.000787150970488	3.566984254e-05	0.000884271616928	0.000173216264264
ì	0.968911276	0.0293404784	0.000841369275	2.37827456e-05	0.000769072732044	0.000113934955846
t	0.749823524	0.24447746932	0.002676340292	0.00094458260654	0.000248129619444	0.00182990748932
t	0.617217096	0.3034324491	0.02170002277	0.0008917161426	0.0510829627912	0.00567574902622
o	0.576289356	0.2345674678	0.001971669554	0.177129045902	0.00282790324652	0.00721456405724
t	0.2064189128	0.632209736	0.0891141878	0.047015227952	0.015763129906	0.009478784058
ì	0.0470011782	0.697108676	0.1191137652	0.00319880917	0.117350186919	0.0162273985305
c	0.06982654392	0.759501672	0.154685766	0.0056871453232	0.00880129447911	0.00149755738319
h	0.0736615779	0.56349635	0.278420644	0.0221564971	0.034093946368	0.0281709811919
o	0.308931616636	0.48662164896	0.01876125752	0.179320041978	0.0029807472684	0.00338471856531
t	0.05879693866	0.3219066222	0.472462288	0.04673895118	0.076085297716	0.024009863262
è	0.00097782686	0.06142661526	0.810112988	0.061049638652	0.04998011482	0.0164528304284
l	0.015256406624	0.10033207406	0.82333014	0.03334898348	0.019489713118	0.0082427040346
i	0.0028434329724	0.01375057678	0.819677756	0.09597187904	0.0535513897	0.014204965286
è	0.17076534604	0.1351055838	0.365701522	0.0765878414	0.162378429	0.0894613312
n	0.03699455348	0.021783475928	0.17435057	0.19057059322	0.3254014594	0.250899333
a	0.0073784427165	0.0228584278652	0.134926234	0.274823248	0.4694606128	0.0905530418
n	0.11102387626	0.059317725828	0.05214463472	0.1999837106	0.251873288	0.32565675
j	0.0023404239488	0.0166170790068	0.018980081836	0.2548609666	0.6057514088	0.1014500514
a	0.0281513534	0.00585556924	0.04363057434	0.16364205988	0.2732601966	0.485460252
l	0.004922467402	0.0088583858388	0.0218615695492	0.2503770437	0.4730629946	0.240917526
ì	0.001434369793	0.011800062839	0.008693258494	0.16390223238	0.580052416	0.2341176508
</S>	0.0037482385	0.002324808558	0.00441168372	0.16417722844	0.4909404676	0.334397589
