 	quando	divento	vecchio	vendo	mia	casa	e	vado	a	vivere	al	mare	</S>
m	0.992191248	0.00510025184	0.000313481847	0.0017506304409	0.000119790806794	4.6918641954e-05	2.60162896788e-05	3.10316832014e-05	2.83963554058e-05	3.41106356204e-05	6.79786587648e-05	9.23958461374e-05	0.000197754917608
ò	0.6140246388	0.19714763326	0.044337152994	0.0628366642103	0.0190395804648	0.0243613122999	0.00375758817819	0.0111383765474	0.00223733281465	0.00223054450608	0.00142451752246	0.00482733251436	0.0126373576557
t	0.817996948	0.0545141654	0.0341180713	0.0481447620691	0.0304609499344	0.00749094698344	0.00277757696714	0.000954738160643	0.000549851861867	0.000207052566666	5.12948538728e-05	0.000211622828452	0.00252195825109
t	0.594324706	0.274895528	0.0940663174	0.00745305052	0.00167798537696	0.0009207780656	0.00075197550564	0.000360167485554	0.000237331201756	9.9602701992e-05	4.9757949342e-05	0.000225187351382	0.0249376214372
e	0.4440632312	0.3320382165	0.1085828652	0.0389271748726	0.0392143459141	0.0090291361759	0.0129523080713	0.0016898935784	0.00499429068284	0.00184421607166	0.00213781747842	0.00353598142512	0.000990537650622
j	0.0919513608	0.80766418	0.0844377834	0.01234938101	0.001540824839	0.0006528290598	0.0003835624866	8.6000914264e-05	0.0002438481658	0.000135659004638	0.000209053643456	0.000132174497367	0.000213357029266
è	0.13612683766	0.732628118	0.0979386746	0.017273693348	0.003955046114	0.0020358877025	0.00232982151122	0.00230726642875	0.000876381992674	0.000403562868412	0.000185251582839	0.000297442551784	0.00364202049218
n	0.0249072448	0.721074642	0.2321888352	0.01754594156	0.00224675785174	0.00126506420696	0.000427541676608	0.000101862090109	0.000119639596557	3.72192527584e-05	3.91297624566e-05	1.94656104599e-05	2.66581137574e-05
o	0.07886542656	0.461558134	0.399352714	0.01752539966	0.015705598834	0.001499850478	0.001545458258	0.0019623613552	0.00054832399052	0.00024175820016	0.000135762738328	0.0003114807084	0.0207477269755
m	0.110945593192	0.1735095052	0.61412527	0.0839828454	0.00597903178	0.00646912824	0.002356521759	0.000773844448	0.00075232548128	0.00033235116524	0.000179138377626	0.000108310716369	0.0004861783241
