 	voglio	un	forno	che	vende	rustici	</S>
t	0.992549094	0.005346068762	0.0012836720518	0.0001092828606	0.00036185743288	4.542050074e-05	0.00030462549942
è	0.882425252	0.1065813999	0.002262208764	0.0009634435922	0.00222158313914	0.000242362042874	0.00530370302763
l	0.882945268	0.107639081	0.005157782364	0.0013196877388	0.00172886015112	5.18715086e-05	0.00115745795675
o	0.82960879	0.1327585244	0.01970737208	0.00400071570636	0.0012179009862	0.000581185447726	0.012125511418
è	0.082649494	0.860417446	0.0454701928	0.005599657	0.003317006848	0.00133573763273	0.00121052752484
n	0.0119924715	0.900217174	0.064382183	0.002884212912	0.00212430607356	0.0076197521854	0.0107799201443
a	0.06159085222	0.63821458	0.244619044	0.03748303816	0.00495395706	0.0015266590456	0.011611890942
f	0.0261229922	0.471559408	0.40965346	0.0614870256	0.02337818334	0.003902691041	0.003896208026
ù	0.01252503322	0.1318974724	0.742096928	0.0773849826	0.01173649844	0.00266631598	0.021692747672
r	0.008484455588	0.1074154184	0.754053916	0.100573467	0.02540604884	0.001900375528	0.0021663182128
n	0.00461789924	0.02923469836	0.63855974	0.234739768	0.0248139971	0.012016910053	0.056017000992
o	0.17407785654	0.03957732046	0.3841258486	0.2221137414	0.03400039578	0.116969285341	0.0291355387304
k	0.00958423459	0.01911289296	0.153576396	0.568116424	0.222950048	0.01579694226	0.010863068272
a	0.002359186626	0.006998009912	0.269493661	0.56431085	0.0903850778	0.03162058462	0.034832609854
p	0.012121457954	0.021758004472	0.05209390506	0.429882062	0.440818884	0.0237942032	0.019531491688
u	0.005947038936	0.006135586396	0.0675889754	0.3434170126	0.512628942	0.02706657128	0.03721587168
l	0.01920094035	0.022200417008	0.02591381644	0.228584405	0.626141934	0.043351631	0.0346068512
ì	0.000953797489	0.004194834532	0.01737349412	0.2340936946	0.456758262	0.1284172708	0.15820863644
r	0.01019542482	0.01291016404	0.0111610419	0.1557560216	0.508134888	0.2517546684	0.05008780138
ù	0.000765855654	0.0019898275504	0.006127995896	0.1602613014	0.326597274	0.38638009908	0.11787765456
s	0.01739636588	0.0040494928	0.004499745896	0.04778557568	0.2502609382	0.543146654	0.1328612384
t	0.0003370503716	0.00063000040018	0.0011451313986	0.0527698924704	0.34512043442	0.534380239	0.065617250226
i	0.0437982387182	0.0299425099155	0.0237188025448	0.061531680077	0.09898805184	0.681858578	0.0601621604
k	0.003891127824	0.003794891606	0.00268479107	0.017452901194	0.09266967412	0.4531637	0.4263428888
u	0.0164178837506	0.00184459670332	0.0030584380196	0.02285749888	0.11597654724	0.687799792	0.1520452246
</S>	0.01920391562	0.023660580027	0.012128532872	0.0733731566148	0.03489129068	0.381868214	0.4548743206
