 	oggi	io	non	ho	cosa	da	fare	</S>
s	0.967663228	0.021393378754	0.0087544230748	0.00166640921924	9.88703502e-05	7.7657232658e-05	0.000181802663504	0.000164192786934
ì	0.939553282	0.0554250716	0.0006526314834	0.0006311036552	0.0002106329416	0.00025648378737	0.00126090391585	0.0020098968928
m	0.807628816	0.1799795138	0.010273501548	0.000880103664	0.00054368173976	0.0001480468829	6.982451572e-05	0.00047650781788
m	0.894921316	0.0589376818	0.0077880858088	0.00634400284	0.005179366928	0.00474446446359	0.00564690694204	0.0164381969402
e	0.399794825	0.3977631012	0.03617845118	0.0496244780976	0.009965547502	0.0978870218055	0.00775981827626	0.00102676943481
r	0.13057714866	0.717252216	0.07509480474	0.02834362614	0.012712537624	0.0281948247686	0.00599508772844	0.0018297723462
i	0.2786678343	0.519076572	0.14292914014	0.03576103078	0.00536634436	0.005310042464	0.006795143372	0.0060939220988
e	0.03736019774	0.589933918	0.2352725364	0.0454727328	0.046815668124	0.0097594762522	0.0067243524154	0.028661092883
v	0.007436205066	0.765227754	0.1330323428	0.0468870361	0.03927293456	0.0026286235052	0.00149396871958	0.0040211156383
ò	0.05407438992	0.50051885	0.142909722614	0.1608466628	0.027523175786	0.005054636904	0.09879583838	0.010276686782
e	0.01893808098	0.28303914094	0.417193896	0.1668039762	0.10301602746	0.007603629532	0.001512847414	0.001892395525
n	0.0301285638	0.1608906528	0.276584128	0.249446808	0.1566542448	0.0439071027	0.023082782514	0.059305726144
è	0.010743773762	0.09042273789	0.075228480856	0.44330381814	0.08092018188	0.03365214306	0.22882656226	0.03690231712
c	0.018905408382	0.0201911181	0.0857783992	0.2477879306	0.490216532	0.0870738388	0.0384311516	0.011615605772
h	0.024306150176	0.02275462272	0.02261582398	0.29951218528	0.2105797656	0.0979504366	0.21446548904	0.10781550754
o	0.00332611081208	0.001350929088	0.00271796636	0.05733691826	0.757331606	0.07863177432	0.05529398406	0.044010697096
t	0.00577520664	0.003785720068	0.02106438696	0.04704406934	0.233313117	0.505878158	0.0804708094	0.1026685329
i	0.00570630475438	0.00418390431	0.004068350244	0.0230970088	0.21643248	0.2971003728	0.3020166132	0.1473949668
k	0.008513292326	0.007140714852	0.013399449374	0.05026067074	0.03062703216	0.5277289	0.2241447884	0.1381852118
à	0.0037620191984	0.0032931004272	0.00453018776	0.007945509528	0.02014153202	0.327725623	0.38348157	0.2491204772
m	0.009901866376	0.005398209584	0.0073970587	0.01522128545	0.0089316272	0.3476052716	0.5453333208	0.0602112893
i	0.0016499614479	0.0008982631392	0.0006692646192	0.002019331294	0.007860734614	0.20013003116	0.59442762	0.1923448184
</S>	0.01861730462	0.012792340654	0.02350518807	0.082683123066	0.028173212874	0.08064568006	0.175669868	0.577913267
