 	venne	scritto	</S>
ì	0.981491098	0.005941367312	0.01256751864
r	0.809636634	0.170564473456	0.019798896278
t	0.5948785912	0.20825871	0.196862687851
e	0.6033233216	0.2654559252	0.131220796286
g	0.5383703004	0.27605260394	0.1855770812
r	0.23398676588	0.689047858	0.0769653781
a	0.12068997656	0.726266172	0.1530438998
m	0.06590030834	0.607076426	0.3270232656
m	0.01502755824	0.655605382	0.3293670682
è	0.028034788886	0.43220565532	0.539759568
n	0.06187988571	0.3001143565	0.63800574
o	0.156085183108	0.4725041844	0.37141065
</S>	0.15346009506	0.06594210272	0.7805978034
