 	non	sapeva	dove	a	stare	</S>
e	0.85009225	0.14343704648	0.004225731738	0.00065330619496	0.000605627490912	0.00098602824166
n	0.47615664564	0.320608444	0.015093765646	0.001635539024	0.004667317942	0.181838264998
ì	0.0562150727	0.91340336	0.01626304326	0.0013990549012	0.0026376510908	0.0100818309202
s	0.01894952494	0.932199212	0.03792420748	0.0016211324628	0.0018571004426	0.00744883886327
s	0.04474459766	0.873032668	0.03249885538	0.008015547518	0.00955282599366	0.0321555702672
e	0.02395577346	0.674668502	0.1488882846	0.054335449784	0.0886509578	0.0095010504994
r	0.0055425884	0.1665434604	0.757517174	0.0495552782	0.01591566349	0.0049258443
e	0.036975761548	0.2930530688	0.384977142	0.19931653046	0.06664552106	0.01903197376
p	0.010753731108	0.03266955398	0.499267418	0.300792222	0.1226659746	0.0338511042
u	0.137178574185	0.05796748374	0.2266308176	0.2736948362	0.1921855908	0.1123427204
n	0.102391788566	0.025093014228	0.0748377648	0.377328876	0.266068302	0.1542802672
a	0.009598960792	0.0123046758	0.0868815704	0.309149232	0.3397452666	0.242320316
s	0.009671112296	0.007543435786	0.00983384918	0.38890317174	0.377091672	0.2069567788
t	0.0019690625494	0.005738976054	0.0124247465	0.1901195084	0.448065782	0.3416819202
a	0.00994491695278	0.0053457171186	0.014339903604	0.193617204	0.645567916	0.1311843346
s	0.0063258666788	0.0072432933124	0.011959252416	0.0956198682	0.4846914576	0.394160251
ì	0.00187866406746	0.006919924541	0.0117814961156	0.13337651928	0.5452680706	0.30077531534
</S>	0.04300980159	0.006434003168	0.0056338125968	0.04104100256	0.396708048	0.5071733352
