 	voglio	che	Maria	viene	domani	</S>
t	0.98678535	0.00713530134	0.002885498734	0.00108092668704	0.00189334220137	0.0002196150605
è	0.72018942	0.0881650996	0.172203481114	0.004682291006	0.0036180860036	0.0111416089536
l	0.922593454	0.0693737158	0.00615786413	0.0008412635664	0.0003367410553	0.000696931037
o	0.6308422168	0.204786436	0.14122472708	0.00557966541106	0.010982465056	0.00658450511916
e	0.122769589	0.766271094	0.0874826232	0.017086764346	0.00373354791838	0.0026563947574
M	0.01383905497	0.1578797728	0.75749549	0.0341494876	0.028146692212	0.0084895656122
a	0.02209559208	0.581617812	0.25260871	0.081202679264	0.0511806728668	0.011294517028
r	0.03783190722	0.3462443652	0.419047328	0.0425815336	0.01184644649	0.142448437227
ì	0.03002479786	0.1883962654	0.4417134828	0.12456095112	0.092651245694	0.122653258754
a	0.13610097416	0.2262166808	0.33723724	0.2581198304	0.021203416412	0.021121903036
n	0.02833282592	0.0283579396	0.2970868	0.475846754	0.1226466244	0.0477290772
a	0.0027896229026	0.030678602256	0.181151566	0.3162597464	0.4240758874	0.0450445566
r	0.04514312154	0.15911264132	0.1520092836	0.338679637	0.0945000014	0.2105552988
t	0.0008408551564	0.015874998382	0.078812022108	0.2222540002	0.3000752248	0.3821428848
i	0.174070949169	0.202347902557	0.00666536384	0.03283068638	0.2259769143	0.3581081926
à	0.06815395257	0.06614076828	0.0263328178368	0.11375138926	0.3720611548	0.353559908
v	0.0019954484326	0.0072192690844	0.020722671164	0.118760433208	0.769365176	0.08193699354
v	0.00017437971072	0.0015651408452	0.0060344698568	0.04521234683	0.92392774	0.0230859234
r	0.0087796828	0.093711354736	0.0192139841	0.01726756132	0.4183269208	0.4427004838
i	0.0652549347256	0.279996660946	0.031149115263	0.00705215694	0.1807477594	0.4357993446
</S>	0.17267923666	0.035139117678	0.0093274882112	0.03371444196	0.13064114156	0.6184985612
