 	hai	già	mangiato	</S>
è	0.995480966	0.00259639378	0.0008437535348	0.0010788997456
c	0.7033329	0.1961795022	0.0609110790512	0.039576537322
h	0.590996984	0.2566422912	0.06905741272	0.0833033108182
i	0.5645923006	0.3748574872	0.0417657014	0.0187844784
g	0.08971008	0.78615097	0.0951765463	0.02896242748
i	0.01672356896	0.689840082	0.2124255368	0.081010789336
à	0.0281072675	0.742951152	0.1964482924	0.0324932828
f	0.010225818088	0.2317956476	0.68029561	0.0776829242
a	0.001195074916	0.078417019	0.825376572	0.09501134442
m	0.033125854648	0.0308408156	0.725574668	0.2104586342
è	0.002751310866	0.009865554492	0.7374401	0.2499430356
n	0.120269602643	0.005943937512	0.7465678616	0.127218632
a	0.039492194813	0.014710876772	0.630431772	0.315365162
</S>	0.101549005148	0.035398005792	0.1921428314	0.6709101668
