 	lo	sentii	ee	che	arrivava	</S>
t	0.985486348	0.004738940354	0.008395970266	0.000422349588774	0.000575423299862	0.000380997543654
o	0.90048325	0.04719811372	0.0218794642664	0.00353231797826	0.00513400619455	0.0217728731189
n	0.2412304704	0.651741092	0.06004668072	0.030965508456	0.0145372627733	0.00147896932256
ì	0.2640616002	0.27519381	0.375111887228	0.00751829888	0.04513563703	0.032978762739
k	0.0723163291	0.645689626	0.269012664	0.00932960096	0.00324512638628	0.0004067152672
u	0.1425195645	0.6401493382	0.1842705961	0.01008553202	0.003301407746	0.01967358613
s	0.15770268806	0.359751866	0.39310994	0.07345421806	0.014491446795	0.00148989028
a	0.053047616192	0.2992057945	0.46095446	0.1406164708	0.03057126836	0.015604397165
e	0.01560484822	0.0679046086	0.58910972	0.2685892138	0.02587557213	0.0329160772486
e	0.01145935854	0.0320505013	0.3722829306	0.477550052	0.06140880528	0.0452483978456
k	0.0116868898	0.02485124868	0.256762672	0.428322388	0.21845659874	0.059920241998
a	0.00546150736	0.0321096688	0.1386382492	0.4339504032	0.1650278982	0.22481226776
è	0.026882319144	0.01294353338	0.14399077004	0.371162466	0.394283777	0.0507371372
s	0.010018996216	0.006062558692	0.10423433978	0.26909758444	0.514840202	0.09574634084
t	0.0020435147974	0.0044080476216	0.0153767743988	0.3453926616	0.474679336	0.15809963758
a	0.0156846304424	0.0103397601898	0.016915690728	0.18387331925	0.565344026	0.207842574
z	0.002842354634	0.003771303528	0.01239248595	0.05649736998	0.59698733	0.3275091554
z	0.0016680172178	0.00321907747093	0.00270503552	0.034469524314	0.638203328	0.3197350014
e	0.0402814475281	0.00699379075632	0.021697995664	0.055414415004	0.659997176	0.21561518072
</S>	0.006937756225	0.0091939154372	0.0273710479	0.03480072176	0.3621009568	0.5595956314
