 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.964425026	0.0346333806	0.0005984375072	6.17923784e-05	5.334862572e-05	3.233760466e-05	2.07620162896e-05	4.4711459894e-05	0.000130245242732
a	0.596141155	0.352893911	0.002703653954	0.002814094263	0.0151775939224	0.0015922014882	0.00070298076986	0.0168211248672	0.0111532765961
ì	0.353276718	0.619214398	0.01848294842	0.003355322648	0.003326236976	0.00136948551	0.00016392807474	0.000624553619318	0.000186431059636
s	0.03542493918	0.939623008	0.01762313307	0.00284998648	0.003467275388	0.000489214303	5.12420296e-05	0.000236771054484	0.00023447199238
s	0.1485503222	0.716475626	0.0436730507	0.0050087178856	0.0489594632682	0.00300699677478	0.000302144661982	0.0207332805221	0.0132903803221
e	0.06664694336	0.849325684	0.04071171524	0.0125355634188	0.00527415884	0.0119683145768	0.00749997934698	0.00545869330726	0.000578894328924
r	0.01805072357	0.525996194	0.395106258	0.0230494758	0.0294919265	0.004191881882	0.0012220980997	0.00189753378793	0.00099385798479
e	0.065995326848	0.477480926	0.311557736	0.04342600166	0.046433862378	0.01042517942	0.0026235956648	0.039452557643	0.00260481309856
k	0.022210557346	0.0542739036	0.712340262	0.1475248006	0.04839265534	0.00799710212	0.0023177038624	0.00138960820286	0.0035534315664
a	0.031467546618	0.0885414384	0.552565292	0.076550832	0.1485680258	0.013703458	0.004645415456	0.065887837376	0.0180701045195
e	0.017356401614	0.01759104742	0.40036401	0.334555452	0.1512620353	0.06251942454	0.006568131754	0.0014304615446	0.00835303207786
s	0.013317699526	0.01627938918	0.2329214984	0.2465605268	0.335977084	0.051591517	0.08166059544	0.0146424274036	0.007049258993
ò	0.0045395421732	0.01744618393	0.212852891	0.09261828826	0.541452856	0.03464559248	0.01301800396	0.07498545872	0.0084411868708
z	0.01396808936	0.0126471683	0.12277510324	0.1745969984	0.523495952	0.1034922248	0.03331358504	0.0105010474698	0.0052098098895
i	0.004823746034	0.003931883894	0.150568452	0.1346865824	0.441307078	0.0886978848	0.0459982208	0.09728227288	0.032703899466
k	0.009082062868	0.01406427957	0.02741529026	0.1009249506	0.258116504	0.27072571	0.2128180732	0.08068992146	0.02616319904
à	0.003939577628	0.007834924208	0.0376204429	0.0375760734	0.425760044	0.07381107	0.16691651786	0.1955097336	0.05103163142
i	0.00859659012	0.01489961142	0.019272845	0.0327138958	0.223873564	0.272776566	0.3063271696	0.1124619032	0.00907786526
o	0.00639706016	0.0150696683	0.00689781673	0.01874675364	0.1469890912	0.189197654	0.367689956	0.12109616168	0.127915845
b	0.01272981206	0.02631355416	0.0075907720824	0.0087657209	0.0611558966	0.191094768	0.443686948	0.07933068162	0.169331832
à	0.020090353574	0.033130247658	0.0220519294	0.00570215284	0.039031084	0.04461271822	0.2429428628	0.437365928	0.1550727334
g	0.025281443106	0.020533248792	0.017713577524	0.00774714828	0.0169312344	0.0458624734	0.209516818	0.5485497952	0.107864258
n	0.0015483361304	0.0012020172828	0.0013327769	0.000890653678	0.0232223452	0.0187036357	0.1102295322	0.590576318	0.252294354
o	0.0466948018836	0.0179248877077	0.0377581925275	0.003928377258	0.02400221842	0.028509336576	0.2206987836	0.4059212964	0.21456210368
</S>	0.00252487902	0.006404756028	0.004634326244	0.0066203702	0.00978778376	0.009393752714	0.13516936832	0.2515959308	0.573868818
