 	il	vestito	della	sposa	vuole	bianco	</S>
o	0.936343804	0.0076225687	0.0514931894657	0.00162558282838	0.0015047009532	0.00125237974788	0.000157755001248
à	0.6232876128	0.0724770167	0.25801685436	0.012751591889	0.0223022544306	0.00686095692248	0.0043037264622
b	0.28292956388	0.2091074468	0.5010039508	0.0046383077	0.0006516175374	0.00027270007912	0.0013964612102
b	0.13088107146	0.2867842604	0.5081490223	0.01380250366	0.0064308046778	0.002075561291	0.0518767648236
i	0.1125956784	0.5159602214	0.359312092	0.0055364883	0.0024662146854	0.002630462708	0.00149882705434
t	0.041952998212	0.594317966	0.325156912	0.03139041976	0.002963689975	0.00145298287272	0.0027650350548
o	0.00861711064	0.35558201288	0.567826862	0.043656936	0.00770696305	0.0147513899512	0.00185872076243
u	0.06068997124	0.23808247	0.462926936	0.210061957	0.00766282356	0.007576757852	0.0129991212878
k	0.022062465752	0.03560836994	0.27050262	0.628550987	0.02523464734	0.0046146691364	0.0134262645675
o	0.00300231338	0.0495564449	0.558256588	0.3498335692	0.0216782899	0.013763685632	0.003909093294
r	0.059559263488	0.0303274128	0.1314418393	0.719748308	0.0330731754	0.007775294918	0.018074681484
a	0.001598587312	0.02118000838	0.3021297642	0.534595442	0.0920911748	0.02601699048	0.022387997172
s	0.0105101278	0.00660131728	0.02267502728	0.842589404	0.0933135904	0.013044784058	0.0112657578602
ì	0.00171205503	0.016410330554	0.0411607338	0.657157722	0.228949252	0.02908172464	0.025528166876
u	0.003445979916	0.002637070762	0.00359308797	0.597184008	0.364201422	0.023509611852	0.0054288476764
t	0.0028521818	0.00152447219	0.00262495217	0.367802734	0.590711652	0.02090379558	0.01358024894
è	0.00046776483764	0.0024630319954	0.003299450538	0.2346066242	0.651157908	0.094169768	0.01383543878
l	0.001663401182	0.0008431851492	0.000887239786	0.0854420398	0.828514528	0.0669683912	0.01568120116
i	0.0007267827706	0.005326273498	0.003071897246	0.0875224972	0.666339616	0.186109519	0.05090343344
à	0.0222162822	0.013461173294	0.00702660728	0.0438509512	0.400791678	0.2933366876	0.219316632
s	0.005385863	0.002381652006	0.002269771638	0.0122749373	0.391510292	0.3496722616	0.23650520566
p	0.0038590246957	0.00549841649014	0.0026413465744	0.01996887348	0.387122964	0.5127647952	0.06814456544
r	0.002102753798	0.003225713047	0.00110231978	0.02673528574	0.07843262118	0.6394384388	0.2489628696
o	0.0035906644132	0.0048423861942	0.005185224333	0.03187503103	0.0924609626	0.6690928	0.192952936
</S>	0.00167924071	0.002419872988	0.0009133213892	0.0118320378646	0.042870716986	0.2655223018	0.674762532
