 	io	non	sono	ancora	pronta	bisogna	venire	alle	sette	</S>
e	0.94171875	0.0485592725	0.0087832869	0.0002076056935	0.000373618345	6.6243682e-05	0.000113345755	7.7803533e-05	2.3713407e-05	7.63961717e-05
v	0.782423736667	0.0517494075	0.0766195972333	0.0075342538935	0.0637097350783	0.0144613680273	0.000579247078333	0.000197148136333	0.00264147370033	8.40812259e-05
ò	0.446782688889	0.1916789825	0.207804252411	0.0117457662978	0.0930735796928	0.0301769260091	0.00166207342611	0.00169247428544	0.00458873040011	0.010794524984
e	0.201392645963	0.424225700833	0.276287520804	0.00773596426593	0.0431260202309	0.0254360316697	0.0017463333087	0.00232075692848	0.00269088699337	0.0150381397947
n	0.0907241796543	0.407901196944	0.433239300268	0.0220302532553	0.0234692854103	0.0138199598899	0.000854700489567	0.00108311297949	0.00117809370112	0.00569989662057
ì	0.0528914032181	0.239030158981	0.625740150089	0.0297343710851	0.0209125621368	0.01369933963	0.000970944483189	0.00223066586316	0.00109866657704	0.0136917184292
m	0.0496724130727	0.187130222994	0.641119666696	0.0244303870284	0.0382398713789	0.03778837321	0.00100522032106	0.00276100856439	0.00102584509235	0.0168269693097
e	0.0448304793576	0.158928857665	0.559346572232	0.122368275676	0.0585883391263	0.0466739257367	0.000607476550353	0.00128332323146	0.000642709070783	0.00673000450323
a	0.0153926448425	0.106585787888	0.377115674077	0.383368175225	0.0807065063754	0.0281009219122	0.00140016646678	0.00333857471049	0.000521133596928	0.00347042200108
n	0.00602926447083	0.0471746279627	0.188665898026	0.633135911742	0.101381396792	0.0152004298707	0.00158552763893	0.00390412382683	0.00117762686564	0.00174526042869
k	0.00699850062361	0.0323689646542	0.125129079342	0.664068823914	0.140966392264	0.0247360128569	0.00102797976298	0.00146153308894	0.00264925375521	0.00059349976623
ò	0.0129716198745	0.0366984302181	0.0975739464473	0.422277055971	0.237688864088	0.164702206619	0.000952067520993	0.00127483618631	0.00318523638507	0.0226757287171
r	0.0124721416248	0.028331801406	0.0594820841491	0.242369526657	0.363315504696	0.25915067554	0.000671569340331	0.00129433102877	0.00225542206169	0.030656915939
a	0.00589627766493	0.0140091283353	0.0305208357164	0.268127262219	0.498796584899	0.163679461847	0.00226893131344	0.00228588390959	0.0020910120539	0.012324598113
p	0.00355445967831	0.00823895047843	0.0150263775721	0.238313927406	0.6170448283	0.0834879106157	0.00941810823781	0.00297569633653	0.0163295006846	0.00561025093933
r	0.00389696739277	0.00842021599281	0.0119126578574	0.172696415802	0.647371362767	0.113519726872	0.0131565297459	0.00190329517884	0.0252096805615	0.00191313995744
ò	0.00245171332526	0.00560206029094	0.00677234953913	0.103354134501	0.560615784256	0.297149252291	0.00775911356197	0.00130059447295	0.0139253857872	0.00106959546181
n	0.00168765220275	0.00333784672365	0.00495250043304	0.0512809997337	0.549265104752	0.369618700764	0.00444155216732	0.00227616323765	0.00699933652907	0.0061401801206
t	0.00262780233425	0.00552640190788	0.0109512164777	0.0675971155779	0.527744068251	0.337400403588	0.00637067872244	0.00451356007922	0.0288571915097	0.00841161947353
a	0.00208881603142	0.00506690682263	0.0105244346259	0.069405207526	0.35436567275	0.277247689863	0.178408907241	0.0287024454597	0.0649170958366	0.00927286859118
n	0.00219576906381	0.00491166812754	0.00767899584197	0.0522851231753	0.22415257425	0.236827185288	0.328539812414	0.0432777734866	0.0915287306122	0.00860239932706
g	0.00249271782127	0.00589720537585	0.00771543644732	0.0471782980584	0.14824973475	0.427510048429	0.227459190805	0.0255823498289	0.104993896871	0.00292114246669
h	0.00112771298042	0.00360530149195	0.00431128904911	0.0359000786861	0.0993587015833	0.656233426143	0.100951049602	0.0119899923096	0.085525680957	0.00099680995023
ì	0.000402959840107	0.00165338935932	0.00209113492737	0.0189000875787	0.0769082328611	0.812005002048	0.0370635029673	0.00555901473653	0.0442247005857	0.00119203858374
z	0.00178481755334	0.00105468061511	0.00171592852012	0.0100150787096	0.0735642566204	0.857528184016	0.0227255430891	0.00438714917884	0.0229946851286	0.00422971789458
i	0.00224684541991	0.00087338803837	0.00161217144337	0.00737912826987	0.0573551753735	0.567436464672	0.224906592696	0.0810376520596	0.0494409750429	0.00771160029819
n	0.00124971970877	0.00128473271279	0.00193329021779	0.00460995708996	0.0221199551912	0.220876988224	0.498429010899	0.134988479353	0.108585565014	0.0059222768994
a	0.000916249828757	0.00140491085326	0.00202004551526	0.00333517785665	0.00914459718707	0.0970359551413	0.5711248703	0.171674761784	0.140259858338	0.0030835601998
r	0.00135050153542	0.00182445363342	0.00264091861442	0.00258203911222	0.00431627095236	0.0521301174471	0.548093256767	0.184134927261	0.200767639446	0.00215986524993
t	0.00202693207847	0.00290727134447	0.00440412087147	0.00584161883741	0.00585246481745	0.0826254424824	0.419616915589	0.12690501242	0.348974286482	0.000845922809977
