 	non	sono	ancora	vestita	</S>
e	0.92954035	0.067684705	0.00073392741	0.000778949085	0.00126198877278
n	0.628631346667	0.333591021667	0.0338508950367	0.00263698476167	0.00128967592893
ì	0.233091624556	0.679318723889	0.0510880590122	0.00424838418722	0.0322531732143
m	0.116406067185	0.81195569463	0.0253503598041	0.00302712274241	0.0432607671381
e	0.087955102395	0.606451781543	0.249644912735	0.0273255686608	0.0286226771127
a	0.055766492465	0.238634104181	0.581582627578	0.0973674562203	0.0266493307042
n	0.0233229688217	0.085171238327	0.764476199193	0.11451199774	0.0125175948637
k	0.0319662959406	0.0418402150423	0.843239033064	0.0787464249133	0.0042081001469
ò	0.0530968946469	0.0524788090141	0.636377994355	0.0635248233044	0.194521570279
r	0.0430494988823	0.0514125720047	0.556608171452	0.0865769094348	0.262352886426
a	0.0204672400841	0.0254719989702	0.462602259484	0.384161823145	0.107296692475
e	0.00737776265137	0.00925897609207	0.174898098828	0.754810817715	0.0536543415583
n	0.00460784721712	0.00430111636402	0.0764712219427	0.893034272572	0.0215855091861
d	0.00941613123904	0.00349400852134	0.0622397363142	0.910290357524	0.014559742662
i	0.0102177923463	0.00351856990711	0.0634961844381	0.896798019175	0.0259694538873
m	0.00428628440443	0.00195586102704	0.0475984864794	0.922242153058	0.0239172409958
è	0.00158245772381	0.00102242240035	0.0785315848265	0.688747294353	0.230116224699
n	0.00231073560794	0.00926354566678	0.102307013609	0.330781264784	0.555337431566
i	0.00292012603598	0.0137064648889	0.0716604465363	0.221771534928	0.689941443855
</S>	0.00221400256799	0.00993181044445	0.0543506532682	0.216421082464	0.717082471927
