 	hai	già	mangiato	</S>
ì	0.946498215	0.0330708055	0.00272973855	0.0177012358095
s	0.898015281667	0.0784588385	0.00567907818333	0.0178467943165
e	0.640571683889	0.3462100395	0.00618229152778	0.0070359808855
g	0.29898159463	0.6249193565	0.0727978089759	0.00330127129917
i	0.12581047341	0.770178018833	0.100295721659	0.00371584947039
à	0.0616658730033	0.857981439611	0.056177002553	0.0241757355901
f	0.0493420996678	0.761204923204	0.160217390851	0.02923559063
a	0.0277327110659	0.464185871735	0.471435853617	0.03664555731
m	0.021530857532	0.221883077912	0.718288451206	0.0382976016367
è	0.019887737344	0.145281370304	0.760487263735	0.0743436080789
n	0.0129120782813	0.082434046768	0.811960521245	0.0926933660263
a	0.0101235853971	0.043144900946	0.677066860415	0.269664668675
</S>	0.00509605815355	0.022014310008	0.489442580207	0.483447054338
