 	io	al	mio	fratello	non	gli	lo	scrissi	mai	una	lettera	al	mio	fratello	</S>
e	0.95051693	0.0407054555	0.00518021095	0.00095000372	0.00046205665	0.000214919455	0.000551319825	0.00049424482	6.3759952e-05	0.00038330208	8.94092775e-05	9.0154543e-05	0.00015202134	4.12348325e-05	0.0001049410447
v	0.75521925	0.2093781875	0.00458517021667	0.00764898542	0.000293195043333	0.00950475750167	0.000840142725	0.00907271562	8.6689152e-05	0.00060991146	0.0007109201225	0.000426619883	0.000631548266667	0.000881669514833	0.000110255637567
ò	0.41235809	0.482567569167	0.0241368883389	0.0145416128067	0.00446748940778	0.0139330971672	0.00373168310833	0.0177559668733	0.002484281854	0.00420304635333	0.0015945400075	0.002248096461	0.00261243095556	0.00209249377161	0.0112727347885
s	0.20711941	0.636672246389	0.058994926113	0.0116753356022	0.00878277546926	0.00784853205573	0.00908218220278	0.0133674167911	0.00435906698467	0.0142611994511	0.00138383395583	0.003803051787	0.00421754678519	0.00177160127054	0.0166609007962
t	0.100870881333	0.68007678213	0.0619142370377	0.0231543245341	0.00627363182309	0.0401787690186	0.0116254469009	0.0296422634304	0.00333135826156	0.0184643254837	0.00212835460528	0.00533013396233	0.00655307739506	0.00306262070351	0.00739384719873
o	0.051106390911	0.574766327377	0.188510179013	0.055643913178	0.00427643567436	0.0505305433395	0.00804272026697	0.0353080654768	0.00196561676052	0.0109308369279	0.00226726575509	0.00456487507911	0.00592918366169	0.00338961563617	0.00276807580958
d	0.066304319437	0.424035425792	0.248072119671	0.127514334393	0.00339827437812	0.0617780614465	0.00529755972232	0.0379365261589	0.00080007187684	0.0044463732093	0.00433093160503	0.00206522841804	0.0026338870839	0.0102955306137	0.00109139927986
e	0.0693798483123	0.256808912597	0.33628930989	0.197725508131	0.00625228454604	0.0668349031488	0.00427477684077	0.0389712597196	0.00037852527228	0.0022442243531	0.00500876435701	0.00122352317935	0.00151489098797	0.0125937389812	0.000499550859953
r	0.0553406479374	0.129120558199	0.355952004963	0.284476269377	0.00726329891535	0.0992828737163	0.00370169964692	0.0438354942399	0.000263634467427	0.00160885890103	0.00443146727434	0.00108952276645	0.00133688912266	0.0119727144371	0.000324087733318
f	0.101562695979	0.161633002733	0.155404841654	0.306644513126	0.00311237853845	0.177068044572	0.00576636898231	0.0601385034133	0.000387342969142	0.00189940843368	0.00703835775811	0.00148759675548	0.00194845820755	0.0156994908124	0.000209031414439
ò	0.0968753913263	0.261934750911	0.189140162218	0.192920594375	0.00654708034615	0.134827554857	0.0101409179941	0.0476764758044	0.00380328868971	0.0102148866446	0.00572039721937	0.00715477428516	0.00352232866918	0.0112667239375	0.0182546599615
m	0.0614642764421	0.253100720304	0.273820514073	0.214000031458	0.0114602674487	0.0740380232857	0.0119317103314	0.0285281912681	0.00525531079657	0.0180309158815	0.00258599032312	0.0104721274284	0.00380276648973	0.00593091774583	0.0255782019872
u	0.0380048915584	0.138131728001	0.275310394691	0.348378067153	0.0616039984829	0.0777316860952	0.0100048917771	0.0153583114227	0.00247951059886	0.0123366949272	0.00114608815104	0.0054551836828	0.00186713229658	0.00215352908194	0.0100378739091
e	0.0126744143256	0.0463409167003	0.200414316564	0.392315722384	0.199082109494	0.106960688698	0.013246663259	0.0141500294742	0.00122462363295	0.00567256727573	0.000605591820347	0.00199308744093	0.000944085165527	0.000817950347313	0.00355724336637
n	0.00483735723697	0.0156729801668	0.083512464188	0.292388947461	0.193956123498	0.371083052899	0.0139483245863	0.0172114268247	0.000631008454317	0.00294799679191	0.000491546700116	0.000801594966977	0.000535615333509	0.000736103769104	0.00124547833046
t	0.00300794731232	0.00834778018893	0.0313884170627	0.16018107782	0.0681866818327	0.680175740966	0.00988051402877	0.0325676192749	0.000287060434772	0.00137267076397	0.00101275898337	0.000501385535659	0.00042710105617	0.00222479532303	0.00043848474982
