 	se	aveva	visto	le	nuvole	le	nuvole	avrebbe	capito	che	stava	per	piovere	</S>
a	0.820535125	0.168088485	0.0072785345	0.000739554335	0.00108780798	0.00037081728	0.00044641632	0.00020614882	0.00023606241	0.0001950311525	6.6652705e-05	9.4883312e-05	0.0001369683525	0.0005174725662
n	0.561259547333	0.384533171667	0.0370817291667	0.00121392460167	0.00775768692667	0.000731065613333	0.00419984415667	0.00120227105667	0.000671148663333	0.000218565230833	0.000250524845	0.000117956260667	0.0002432974075	0.000519270117733
ì	0.192794804044	0.717099637222	0.0549900657222	0.00208670113389	0.0105270441089	0.00114462367111	0.00622035571889	0.00272991501889	0.00149577562111	0.000690158540278	0.002187187015	0.000641061183556	0.00138993033583	0.00600277366824
c	0.0766381272813	0.851830925741	0.0420217859074	0.0021505245113	0.00527572296963	0.000905681253703	0.00346012793963	0.0022647757663	0.00132397150037	0.000813853298426	0.00278268073167	0.000786882521519	0.00166058746294	0.00808441652275
h	0.0498667214271	0.858062491914	0.0453709273025	0.00255412397043	0.0108523964565	0.00142716931457	0.0122882296799	0.0071843126821	0.00131585466012	0.000316150314475	0.00683817350389	0.00028719628084	0.00064164387198	0.00299465120425
e	0.0308044116424	0.619691570638	0.270590121101	0.0150078007901	0.0233154451522	0.00197010510486	0.01691282106	0.010315153694	0.00136884610671	0.000167886261492	0.0083335671513	0.000135846873613	0.000307121090327	0.00107933153642
t	0.0135710495141	0.338740966879	0.5506513737	0.0395439962634	0.0319628573841	0.00243856763495	0.0105238331867	0.00626378636467	0.00167764592224	0.000176213360497	0.0034384527671	0.000141718637871	0.000471112029776	0.00039846704764
o	0.010715245638	0.189538905293	0.6186798579	0.121998568754	0.0418358524614	0.00245116361165	0.0068025978289	0.00363941990489	0.00175398003408	0.000168967830166	0.00155593548403	0.000131529651957	0.000541465643259	0.000186497179713
r	0.0136373288793	0.0888985320977	0.517686505967	0.169336829585	0.149045424154	0.00614254727055	0.0307724987096	0.0114270897516	0.00695959087136	0.000593166906722	0.00298908918968	0.000571478076652	0.00180595918109	0.000133921953904
ì	0.0122828002931	0.0506971150326	0.365849521989	0.226498223195	0.259485901385	0.00788191455685	0.0425179349032	0.0160456853505	0.00890567229045	0.000798777308907	0.00487976802989	0.000770775962217	0.00235810657703	0.00102778407863
s	0.0163623477644	0.0272600120109	0.356391000663	0.305259091065	0.235705973795	0.00833021098562	0.0235164179677	0.00860379601683	0.00468753109682	0.000930267409636	0.0051652182433	0.000579542390739	0.00155068950901	0.00565791392621
o	0.0160598101448	0.014790870227	0.260875671221	0.422269863688	0.237743897932	0.0103942121619	0.0161452239892	0.00557716713894	0.00322143661561	0.000953978319879	0.00397178021443	0.00047700582858	0.00116487449967	0.00635423909207
n	0.00674344800493	0.006075921899	0.103585182407	0.450063141229	0.382588632644	0.0177365902206	0.0174018583297	0.00616949371298	0.00336234112187	0.00054769888996	0.00194841633814	0.00031420170786	0.00122174752989	0.00224133498236
t	0.00437949393498	0.00759813156633	0.074274938469	0.295697527076	0.446209377548	0.0322692740735	0.0447835961099	0.0346572499043	0.0192309027073	0.00204261886332	0.027186355046	0.00251196600262	0.0083910933433	0.00076747530012
a	0.00240022255833	0.00697709237944	0.051210705023	0.286152125692	0.442728859183	0.0408279713578	0.0509643977033	0.0444233459681	0.0229157003358	0.00253596035444	0.0352582965253	0.00316036481087	0.0101215552678	0.00032340179104
t	0.00142887013278	0.00352517265048	0.0236723418743	0.238139284231	0.609664119728	0.0382156924526	0.0373233232344	0.0200108674894	0.00928245054527	0.00111414074481	0.0124218518184	0.00118767771362	0.00384806167593	0.000166122197013
a	0.00109028068426	0.00237353376736	0.0140982660581	0.14421571041	0.719427673243	0.0575477114842	0.0366208614115	0.0120851003298	0.00470422731509	0.000602283074937	0.0048465830728	0.000511939011207	0.00176143877864	0.000114376105671
s	0.00076264460142	0.00263675290632	0.00680262821937	0.10378731947	0.728306357748	0.0712145668281	0.0682344258038	0.0104989344433	0.00342451290503	0.000490529734979	0.00213801502427	0.000325600633736	0.00126283117955	0.000114898045224
ì	0.00115563873381	0.00278204912877	0.00526517200646	0.04866043749	0.742874135916	0.0601724399427	0.110779895268	0.0168381014811	0.00293848980168	0.000398511178326	0.00475251500809	0.000270801184579	0.00116132725985	0.00195048489841
n	0.00358147481127	0.00158866810292	0.00655555050215	0.0412382021633	0.662119061972	0.128268773314	0.114535575089	0.017854455827	0.00342030226723	0.000860103882775	0.00870651866936	0.000387048278193	0.00137449648662	0.00950973349947
n	0.00780312793709	0.00340789816764	0.0166912861674	0.0603125620544	0.476365140657	0.174021671105	0.141693521696	0.032224708609	0.0216987605891	0.00223787262759	0.0304146295565	0.00135993322606	0.0193631221622	0.0124057329998
e	0.00658936439803	0.00341370612875	0.0164346345858	0.0556348504181	0.246591071219	0.367548603702	0.158690653899	0.0462727935363	0.0279044386297	0.00296889484253	0.0344563420688	0.00166540599869	0.0252819209874	0.0065473281566
f	0.00225486521834	0.00285178364912	0.00667515002527	0.0212960311394	0.099322152073	0.511714801234	0.227419557966	0.0656324418454	0.0250568693099	0.00381256108084	0.0161989705729	0.00232859508956	0.0130971255958	0.0023391158202
a	0.00080677539598	0.00266398348111	0.00341368732842	0.00900412004647	0.0464608775577	0.532956947078	0.275343652655	0.0781106772818	0.02461844377	0.00405682409361	0.010186225991	0.00250357278652	0.00897812753193	0.000896100784733
t	0.000323660988527	0.0017314684251	0.00166252572947	0.00411361964882	0.0224633183859	0.472273719026	0.391821784218	0.0762481177606	0.0158347589233	0.00261224159787	0.005075706897	0.00120644337551	0.00422112781064	0.000411504251578
e	0.000162482355309	0.0014206034245	0.00107779121182	0.00228049888294	0.0136553080286	0.404543996342	0.457377624739	0.0951979545869	0.0147011024744	0.00245191079929	0.003416520899	0.000765711328503	0.00273263663688	0.000215856237193
s	0.00010398862757	0.00133460109097	0.000756878572607	0.00150544707098	0.0074526615762	0.353037595447	0.49829322158	0.113903334862	0.0155855533248	0.00248507256643	0.00265806456633	0.000600953356168	0.00212851404563	0.000154131003398
m	0.00010044173919	0.00152320012032	0.00120287585754	0.00214460216699	0.0135551438587	0.151553994482	0.60267575386	0.198838631621	0.0163040731083	0.00183250768881	0.00789735328878	0.000829714185389	0.00147793264854	6.37786063327e-05
à	8.59154963967e-05	0.00072627541934	0.00100059931918	0.003979692189	0.0165122942862	0.0801020991607	0.57648198462	0.27557759054	0.0132957323694	0.00157525289627	0.0280233404296	0.000862789261796	0.00107039399618	0.000706053779644
n	0.0011332717688	0.000717595729013	0.00102383833973	0.004508444963	0.0125407244287	0.124481268054	0.57549313154	0.21902354218	0.0130983911231	0.00222340033209	0.0378151601432	0.000633325267265	0.00108468127873	0.00622324692655
