 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.777745765	0.20031773	0.02087187974	0.0002440216725	0.0001995884805	0.000620116292	9.9089132e-07
i	0.626986228333	0.33898089	0.0317161009133	0.0006874207575	0.000312874586833	0.00101115299733	0.000305403597907
k	0.365980994111	0.596005393333	0.0329150136378	0.000842325919167	0.000363961772278	0.00348537589911	0.000406963109636
à	0.19618355937	0.757668301111	0.0340983578793	0.00106550893972	0.000807079134093	0.00638297863304	0.00379420241355
n	0.147017366457	0.808250103704	0.0326460789598	0.00130743236324	0.000950351544698	0.00482237724435	0.00500624785452
n	0.0991243154857	0.716854584568	0.170295815987	0.00239086757108	0.00332440958157	0.00619186861478	0.00181806731151
i	0.0643462194952	0.513869994856	0.391534271996	0.0119219021904	0.00514618852719	0.0115060867049	0.0016753139805
e	0.0244471023517	0.318978703619	0.606265290665	0.0344431097301	0.00389648750906	0.0099716207683	0.00199771866017
A	0.0135366229706	0.140020612206	0.771936873555	0.0498715365767	0.00451990116969	0.00966513278943	0.0104493456534
n	0.0123468279902	0.072507171402	0.833381334518	0.0453710488589	0.0076884023899	0.0147599165965	0.0139453183511
n	0.0176502669967	0.0484782228007	0.799215494839	0.0297587896196	0.0286901904633	0.0703120451988	0.00589499105037
a	0.0168413531156	0.0296674015269	0.505647267613	0.310151299873	0.0422137994878	0.0924648290663	0.00301402991679
o	0.00566209543687	0.010019757299	0.193909556871	0.711173323291	0.0344958764959	0.0425674377554	0.00217193213893
s	0.00527440609396	0.010108540963	0.172901240624	0.61875148443	0.0944137161653	0.0975218833185	0.00102869281298
à	0.00541322954799	0.010808402421	0.173025726875	0.403579678143	0.241619852055	0.150173514439	0.0153795833043
m	0.002944520366	0.00555599867367	0.123066602292	0.427472419381	0.301463717352	0.119081694813	0.0204150815014
b	0.00223181088867	0.00415776372456	0.108518634097	0.32324297046	0.324290872451	0.230438764938	0.0071192384698
a	0.00115039105622	0.00246665389152	0.056068237599	0.144975207487	0.306149907484	0.485695028313	0.00349459832593
p	0.00203855381207	0.00410366988051	0.022516466433	0.073851980829	0.177756441495	0.717449756104	0.00228313482098
o	0.00232208948469	0.0046213428595	0.0111529653777	0.0368406476097	0.116758096165	0.816091298701	0.0122135850527
r	0.00333075057556	0.0047217948525	0.00734842769257	0.0225741468699	0.0874052187217	0.859067786234	0.0155519143376
n	0.00909663919185	0.0103572539508	0.0165273895642	0.0141736746233	0.0602500082406	0.884294782078	0.00530028145587
ò	0.00849139085928	0.00909665776027	0.0164363771547	0.0248227635411	0.0967643114135	0.823861260693	0.020527253842
</S>	0.00427446912264	0.00459527554514	0.00884904452735	0.0335741242706	0.129735055707	0.780692780347	0.038279256921
