 	nella	pasta	vuole	sale	</S>
s	0.96172042	0.03349282325	0.00360417525	0.0011818844	5.94793365e-07
t	0.935397573333	0.0594675710833	0.00279602865	0.00233817533333	5.71092778333e-07
i	0.908031257778	0.0853580836944	0.00402377208333	0.00255203891111	3.47887491828e-05
p	0.628577277593	0.360325831231	0.00799573249444	0.00305431683704	4.68133747276e-05
à	0.311745277531	0.611751677077	0.0689477444981	0.00572674861235	0.00182853835324
s	0.17500637751	0.654616259026	0.158540968166	0.00933134287078	0.00250502712108
t	0.0659644628367	0.702639219675	0.150404376055	0.0800614812903	0.000930427053693
a	0.0267153335622	0.470704637558	0.390073788685	0.110692949763	0.0018132811279
t	0.0125006458041	0.185976840186	0.733756646228	0.0656602352543	0.00210565321597
è	0.00792775630137	0.0875445457287	0.815533915409	0.0836868844181	0.00530691931199
l	0.00319395679046	0.0356052242429	0.837314571803	0.117276018139	0.00661025303733
i	0.00129374471682	0.0175494213143	0.637247327268	0.28420133938	0.0597082019458
à	0.000555437692273	0.0060670973381	0.314366859089	0.582464713127	0.0965459329819
l	0.000233052172424	0.0026159833127	0.143399118696	0.800913804376	0.052838070594
a	0.000133266385808	0.0014377838859	0.0606320180987	0.670537468125	0.267259450798
</S>	0.000102989257904	0.00074562531545	0.0310893483493	0.461868934063	0.506193055399
