 	non	mi	aspetti	non	vengo	</S>
m	0.582040765	0.4154843125	0.000955398763	0.0001319896223	0.001387028155	4.50692075e-07
ì	0.319929558333	0.669875894167	0.00695694405433	0.000686842560767	0.001778486885	0.000772242554792
m	0.177044597444	0.810764998056	0.00885172965144	0.000934414573589	0.00115789702167	0.00124635298493
e	0.069284458148	0.911233299352	0.0141010505171	0.00361391407786	0.00089758843389	0.000869676544977
m	0.0480401303827	0.920879716451	0.017192224839	0.00471435005929	0.00864310107796	0.000530451041992
ì	0.0395684581276	0.857303755484	0.0545158762797	0.0282894050531	0.017149866026	0.00317264612433
n	0.0276587740425	0.759078805161	0.0894038320932	0.0433241150177	0.073082515342	0.00745196470811
i	0.0186549401808	0.481838813487	0.130024380698	0.264342865006	0.0972814817807	0.0078575240027
e	0.00685050086693	0.161366926622	0.173788876899	0.594471855002	0.0587955029269	0.00472635507757
n	0.00893488892898	0.0575232184007	0.114643237966	0.467099335334	0.349865089976	0.00193422591252
è	0.0111805420763	0.0269581873002	0.047169295322	0.209751288778	0.583220163325	0.121720506214
r	0.0071992997921	0.0171407967667	0.028083399774	0.122464685593	0.657204854442	0.167906975071
k	0.0059717547307	0.0325324545889	0.018762054258	0.048104634031	0.824638898147	0.0699902226903
o	0.00395295791023	0.0340300144296	0.124899861419	0.129987370844	0.616319969382	0.0908098155634
m	0.00734078617008	0.0252696223765	0.22460847714	0.155112571148	0.497419736461	0.0902487818045
e	0.00842224470336	0.0224512343922	0.349000049047	0.072877346916	0.43765507882	0.109594003885
</S>	0.00450729332168	0.0119574905961	0.483499524523	0.065702711958	0.26032855441	0.174004366942
