 	l	anno	che	viene	devo	mangiare	molti	dolci	</S>
o	0.8183268	0.15448861	0.002372835775	0.0013724965915	0.0015094025221	0.017762094388	0.001506772335	0.0001534428035	0.00250748869125
c	0.566315686667	0.372610236667	0.0173197999917	0.00141982460383	0.00151012050493	0.018064625296	0.0174363995117	0.0028104688345	0.00251276874908
h	0.315352595556	0.625206978889	0.0247415026639	0.000551665591277	0.000504392226157	0.00653429529867	0.0226648051706	0.00360066479523	0.00084303929858
r	0.220734718519	0.717143626296	0.046350478888	0.00126972681376	0.000180324267332	0.00317245173289	0.00958774055687	0.00126689453881	0.000294017269747
ò	0.112456286173	0.805624875432	0.0634365976293	0.00191110940459	0.00112089012078	0.00252825497763	0.010035644019	0.000867698469603	0.00201862786325
n	0.0626571787243	0.805337658477	0.0807074838764	0.00339213143486	0.00172757069026	0.0214916207925	0.0198512140063	0.000877600073201	0.00395751762108
o	0.0340236402414	0.527251118826	0.340453207959	0.026321181145	0.00537943544675	0.0408581485975	0.0202862900021	0.0006430774144	0.00478390604036
k	0.0211111587471	0.216710160609	0.63458266932	0.0316901962517	0.00629756931458	0.0275525330425	0.0568289106674	0.0015192041448	0.00370761578345
a	0.016539082949	0.0982593645363	0.70997635644	0.0690633066206	0.00568506893719	0.0212795958575	0.0750957502225	0.00189643254827	0.00220506423115
m	0.013473879683	0.0562732708454	0.749364052147	0.0815956147535	0.00548998728906	0.0193485744192	0.0705644800742	0.00218183068276	0.00170830625038
b	0.0320055152277	0.111960153615	0.749929727382	0.0296074889645	0.00185244093702	0.0078126487064	0.0638185970247	0.00241357349425	0.000599782773893
è	0.0327157270759	0.124071987872	0.564403419127	0.0347746211548	0.0169808415097	0.0128495086688	0.188580606008	0.0227507754314	0.0028724598084
n	0.0144617753586	0.0687243279573	0.371560549709	0.0640112103849	0.0389382691699	0.0959656025563	0.306241922003	0.0297777971771	0.0103185129361
n	0.0191111461195	0.0594946299858	0.377719643236	0.0651839834616	0.03639133239	0.136503782519	0.277224004001	0.013420329759	0.0149511099787
i	0.0191158904388	0.0422961012153	0.286023468745	0.278976774487	0.03784470913	0.110203299173	0.206574908	0.008438956853	0.0105259111596
è	0.00639927009193	0.0141641626868	0.103242680048	0.363582941496	0.166701053043	0.240570766391	0.095324615	0.00399608856767	0.00601848028653
n	0.00293466764398	0.00559455612393	0.0480427461493	0.182248470499	0.250285671014	0.427770255464	0.0724474873333	0.00341741987256	0.00725878016218
a	0.00177689698799	0.00270653439898	0.0294780950031	0.1551599835	0.188710560338	0.547928685155	0.0629125031111	0.00420268542419	0.00712404895406
f	0.0103354227027	0.0148386029907	0.0306946279544	0.113377798567	0.108647150379	0.425607121718	0.27947504837	0.0133074449414	0.00371674875135
à	0.0131853748629	0.0188842524212	0.0312133291681	0.048266192589	0.0539196280597	0.333677013906	0.48093758279	0.0160936742471	0.00382291991712
o	0.00439848939523	0.00630522833973	0.0106274996394	0.040878501863	0.0507411086866	0.549911651302	0.319390417597	0.0113848275157	0.00636228710571
p	0.00934800327734	0.0157057768882	0.0110553252798	0.0290371074643	0.0324500365289	0.462047017434	0.419757662532	0.0157056983386	0.0048934844819
o	0.0110033240211	0.0188448704884	0.0112737277033	0.0273431939981	0.015317545143	0.279708952811	0.580428387511	0.0520507071129	0.0040293554073
d	0.00919919660237	0.0177561790218	0.0103482318444	0.0266818024227	0.009478992401	0.21213987717	0.642013515837	0.0687389750376	0.0036432252391
d	0.0101426352675	0.0206087010073	0.0119623199481	0.0094178698309	0.003221549187	0.0727734603233	0.828768025279	0.0417902276792	0.0013151917797
h	0.00700165648917	0.0126735799024	0.0082773210827	0.0038023427103	0.00112343142367	0.0253240304411	0.906098675093	0.0352092872264	0.000489635663233
à	0.00440761221922	0.00681313168747	0.0055493467609	0.0109865384034	0.0215058421359	0.027588985447	0.867361591698	0.0413816237421	0.0144053345611
g	0.00231077726257	0.00319602504916	0.00385508255363	0.0156214986011	0.0295503610453	0.096526245149	0.789162150566	0.0335227112474	0.0262551948537
l	0.0133903352209	0.0188758683497	0.0105993945179	0.0100121010004	0.0190671163484	0.106029013716	0.750417070189	0.0362942417491	0.0353148839512
i	0.0162556590603	0.0231973015466	0.011398713346	0.0070763536668	0.0156901564495	0.041655400172	0.50301398573	0.340160630583	0.0415518079837
c	0.00581157937343	0.00908209177887	0.00507028495533	0.0038384299956	0.00662097788117	0.0148937056107	0.342046307577	0.588291790194	0.0243448667112
è	0.00232506920081	0.00437144193929	0.00330009735178	0.00368323863853	0.00689196235839	0.00873923049023	0.463582819192	0.471451393398	0.0356547896204
a	0.000781311054937	0.00146995921743	0.00148206982126	0.00401310864618	0.0113614601195	0.00784085916341	0.354543798064	0.533512314466	0.0849951498735
</S>	0.000393406944968	0.000744316695715	0.00075067441663	0.00268579067309	0.0122632580597	0.0060439280817	0.195652736532	0.670544607233	0.110921314937
