 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.00357103915	0.00190572592	0.643922105	0.309863779	0.030182975	0.0049537533	0.0056006035867
n	0.00470281038333	0.00210059938333	0.511102530333	0.136885595667	0.103488858333	0.143206603767	0.0985130185289
a	0.00525248802778	0.00121232620444	0.273752488778	0.128917231889	0.244382946111	0.216612241256	0.12987025401
v	0.00751274524259	0.00680706390148	0.316751429593	0.23523813063	0.25184556537	0.134270470419	0.0475745664533
o	0.0231139364142	0.00904511776716	0.480044663198	0.24496269021	0.14136472279	0.080580199473	0.0208886444344
r	0.0247045710714	0.00451272518905	0.424245903399	0.41228449007	0.08504894193	0.037343265491	0.0118600600381
à	0.0202052292905	0.00297661396302	0.400195730133	0.471770513357	0.06241003931	0.0223512788303	0.0200905302394
s	0.0213787757635	0.00221533235434	0.483838243378	0.395039407786	0.03885454177	0.0200870402768	0.0385866267465
o	0.0184444765878	0.241802445718	0.289447131126	0.358065882595	0.03042936859	0.0230263017589	0.0387844235822
t	0.0147704854959	0.350903461906	0.122419607709	0.441625587532	0.03133695953	0.0158186825196	0.0231252104141
o	0.00838463713197	0.443978900635	0.046679767803	0.448028115844	0.0298672728433	0.0118180787732	0.011243188358
t	0.00702465237732	0.494974920212	0.0199275638343	0.396702578615	0.0624631619478	0.0115545425911	0.007352558186
s	0.00504411789244	0.215578465037	0.0111145449448	0.683260812872	0.0745335593159	0.00764625573037	0.002822221912
o	0.105562817064	0.076665800979	0.00540816551493	0.553815811957	0.114243468439	0.0600240281101	0.0842798914207
m	0.137812598301	0.030262778693	0.00290911570498	0.457191644986	0.181732802813	0.0787824960367	0.111308569284
ì	0.051433621047	0.010984754021	0.00249263650166	0.418287661995	0.323773184271	0.0825520820122	0.110476081905
k	0.022784697349	0.004185317697	0.00440194910055	0.202064144332	0.542834261424	0.0992000706707	0.124529559968
a	0.0106715134497	0.00191803957567	0.00414126783518	0.127424962784	0.517957700475	0.207361453557	0.130525032656
i	0.00927216748323	0.00128732420189	0.00138871298239	0.042626835668	0.291732105825	0.482894381186	0.170798460885
m	0.00651276959441	0.00089127367263	0.00047634959313	0.0153929776227	0.335863660942	0.531044610395	0.109818358515
è	0.00778692929814	0.000863697929543	0.00019630504771	0.00636620910757	0.335408095647	0.442704113465	0.206674647725
r	0.00835651759938	0.000994988676514	0.00137695150257	0.00351063223586	0.138292100549	0.510537187822	0.336931612575
i	0.00383876406646	0.000502835023838	0.00174484587196	0.00245653673529	0.068833165333	0.519059762607	0.403564080858
</S>	0.00278226108323	0.000258533209419	0.00087443849263	0.00123265490264	0.0347357903915	0.468654731303	0.491461590429
