 	sono	vestita	</S>
ì	0.92601562	0.055280596	0.018703787323
m	0.68359368	0.296737585333	0.0196687283077
e	0.328544281667	0.658344528444	0.0131111693026
n	0.134466293222	0.855570476148	0.0099632088932
d	0.0736393604073	0.922971448716	0.00338916141673
i	0.0498653280024	0.925834722905	0.0242999091322
m	0.0204054352008	0.948377424302	0.0312171277074
è	0.0278337004003	0.914473508101	0.0576927738991
n	0.0802391858001	0.6904631527	0.2292976313
i	0.0811279412667	0.410055717567	0.508816310433
</S>	0.0425944996334	0.298605483783	0.658799980216
