 	non	ho	cosa	a	fare	</S>
e	0.98212237	0.0093351433	0.0071120502	0.00061372584	0.000660785498	0.0001559417702
n	0.656499980667	0.0198174807667	0.318588002067	0.00426701741333	0.000666277623333	0.0001612426674
è	0.230075307556	0.108510008922	0.611017850689	0.0313799618044	0.00229549296511	0.0167213823665
c	0.182957669185	0.168282702974	0.584366213563	0.0374289384681	0.00285668144504	0.0241078436555
h	0.175127698395	0.110660210325	0.683785017854	0.0193972356894	0.00102798928835	0.0100018843385
o	0.0737564835983	0.089554872775	0.732759922618	0.0964404302298	0.00304542461278	0.00444288136617
t	0.0281669826661	0.078609509925	0.534635067539	0.352366410077	0.00372319075426	0.00249883320852
i	0.0145401258887	0.0370253431417	0.271714812513	0.502584090026	0.141048669135	0.0330869534893
k	0.00969582609623	0.0191047047139	0.107631508171	0.632648603342	0.187623174812	0.0432961854784
à	0.00735351969874	0.0151311100713	0.0537712233903	0.551085094447	0.0957574400373	0.276901612808
i	0.00410073473625	0.0099914617571	0.0291556744634	0.240170421482	0.315941253346	0.400640480936
</S>	0.00217082582312	0.00624290997855	0.0179535422317	0.169025085741	0.535459926673	0.269147755468
