 	stava	ancora	cucinando	</S>
ì	0.98492885	0.0027740968	0.000627928075	0.0116690464254
s	0.967828226667	0.0142504700333	0.005673516035	0.0122477420085
t	0.938392185556	0.0477697033444	0.00915722167833	0.0046808608095
i	0.863941361852	0.116542167781	0.0121148752261	0.0074015608765
g	0.583952700617	0.387647355927	0.0200233330754	0.0083765451355
g	0.540793746872	0.439904383976	0.0164189191918	0.00288290777583
h	0.730108532291	0.258756449992	0.0101304228973	0.00100458233261
e	0.508563556097	0.431163336664	0.0530213399658	0.0072517499642
a	0.185593644382	0.687469312221	0.109706139989	0.0172308813214
n	0.0687529448107	0.833427124074	0.084095170063	0.0137247448238
k	0.0758119479369	0.887800474691	0.0316903330877	0.00469722480793
ò	0.0910386593123	0.622436031564	0.0525517006959	0.233973573086
r	0.0644766204374	0.535074930521	0.084891820232	0.315556594362
a	0.0363663786625	0.475094328507	0.338792090077	0.149747161454
m	0.0254767520708	0.450002181169	0.435192710026	0.089328339218
a	0.0216090527036	0.433687794723	0.467074470009	0.077628691806
r	0.102975264915	0.356583219241	0.466295270003	0.074146282002
è	0.130155868962	0.368247967747	0.446246036668	0.055350178734
o	0.044002297044	0.164135781182	0.717421532223	0.0744404362447
n	0.206132949081	0.181147010994	0.559091166074	0.0536289122482
t	0.359061683027	0.340097736998	0.278348914025	0.0224916773827
a	0.219731827842	0.268406555666	0.244510454675	0.267351188928
</S>	0.110854964171	0.135513592833	0.232663497337	0.520967994464
