 	entrò	da	qui	</S>
m	0.993658875	0.00448105695	0.0018479002	1.2197665975e-05
b	0.792128518333	0.200331155417	0.007535559	4.80695354167e-06
ì	0.415174178111	0.492854218472	0.0907558913333	0.00121576319941
k	0.29151759137	0.536232426157	0.170103767111	0.00214625143314
e	0.229846157523	0.482967395386	0.28464457237	0.00254187264438
a	0.0776832400743	0.359309051795	0.55981959079	0.00318811328146
p	0.0277914580914	0.188152029265	0.78193580693	0.00212070076382
ò	0.0114405232638	0.0992350824217	0.878606445643	0.0107179820913
t	0.00495492638793	0.0476671291406	0.931696781881	0.0156811713638
t	0.00546808142931	0.0582750907135	0.92782769396	0.00842907132127
u	0.00531319436644	0.0542697449045	0.72704993132	0.213367058974
</S>	0.00278145751822	0.0298260044522	0.54650561566	0.420886849487
